NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
NEGATIVE REGULATION OF CELL GROWTH	NEGATIVE REGULATION OF CELL GROWTH		38	0.40502122	1.4439168	0.05068226	0.1803803	0.996	364	"tags=16%, list=7%, signal=17%"
IRON ION BINDING	IRON ION BINDING		25	0.40867826	1.4369549	0.027027028	0.18706414	0.996	858	"tags=40%, list=17%, signal=48%"
EXONUCLEASE ACTIVITY	EXONUCLEASE ACTIVITY		15	0.57177025	1.4337239	0.06719368	0.18942113	0.996	670	"tags=27%, list=13%, signal=31%"
CELL CORTEX	CELL CORTEX		81	0.35006523	1.4325199	0.058704454	0.18962058	0.996	401	"tags=15%, list=8%, signal=16%"
COPPER ION BINDING	COPPER ION BINDING		17	0.56064326	1.426621	0.09368636	0.19535053	0.997	468	"tags=24%, list=9%, signal=26%"
CELLULAR RESPONSE TO AMYLOID-BETA	CELLULAR RESPONSE TO AMYLOID-BETA		19	0.43599102	1.4234576	0.068359375	0.19785051	0.997	364	"tags=26%, list=7%, signal=28%"
APICAL PLASMA MEMBRANE	APICAL PLASMA MEMBRANE		96	0.33902955	1.4202859	0.042145595	0.20043558	0.997	516	"tags=19%, list=10%, signal=20%"
POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY	POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY		16	0.4646074	1.4171637	0.06336634	0.20277311	0.998	113	"tags=13%, list=2%, signal=13%"
STRUCTURAL MOLECULE ACTIVITY	STRUCTURAL MOLECULE ACTIVITY		35	0.40070096	1.4168695	0.05858586	0.20178585	0.998	716	"tags=29%, list=14%, signal=33%"
POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING	POSITIVE REGULATION OF NIK/NF-KAPPAB SIGNALING		21	0.41527638	1.4127616	0.07355865	0.20585419	0.998	548	"tags=33%, list=11%, signal=37%"
"HYDROLASE ACTIVITY, ACTING ON GLYCOSYL BONDS"	"HYDROLASE ACTIVITY, ACTING ON GLYCOSYL BONDS"		17	0.5101792	1.4030715	0.098076925	0.21656913	0.998	564	"tags=41%, list=11%, signal=46%"
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION	POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION		40	0.38882056	1.3966553	0.07283465	0.22325575	0.998	689	"tags=38%, list=14%, signal=43%"
PHAGOCYTOSIS	PHAGOCYTOSIS		25	0.39710394	1.3960173	0.048449613	0.2226142	0.998	596	"tags=36%, list=12%, signal=41%"
LIPID BINDING	LIPID BINDING		97	0.34148544	1.3883836	0.06653226	0.23090601	0.998	429	"tags=22%, list=8%, signal=23%"
POSITIVE REGULATION OF CELL-SUBSTRATE ADHESION	POSITIVE REGULATION OF CELL-SUBSTRATE ADHESION		18	0.5317101	1.3859028	0.091816366	0.23257065	0.998	794	"tags=44%, list=16%, signal=52%"
FOCAL ADHESION	FOCAL ADHESION		87	0.38120458	1.3851558	0.11478599	0.23191042	0.998	553	"tags=24%, list=11%, signal=27%"
PHOSPHATIDYLCHOLINE BINDING	PHOSPHATIDYLCHOLINE BINDING		17	0.497355	1.3798631	0.12727273	0.23715438	0.998	645	"tags=41%, list=13%, signal=47%"
AMINOPEPTIDASE ACTIVITY	AMINOPEPTIDASE ACTIVITY		18	0.48901722	1.3743068	0.11553785	0.2427029	0.998	389	"tags=22%, list=8%, signal=24%"
GTPASE ACTIVITY	GTPASE ACTIVITY		157	0.31473863	1.3681028	0.08946322	0.24955316	0.998	366	"tags=11%, list=7%, signal=11%"
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY		25	0.4243186	1.3644125	0.09	0.25296357	0.998	242	"tags=16%, list=5%, signal=17%"
INTEGRIN-MEDIATED SIGNALING PATHWAY	INTEGRIN-MEDIATED SIGNALING PATHWAY		38	0.41404092	1.3528198	0.07385229	0.26721048	0.998	952	"tags=45%, list=19%, signal=55%"
GTP BINDING	GTP BINDING		185	0.30567062	1.3478564	0.108	0.27231896	0.998	197	"tags=9%, list=4%, signal=9%"
POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH	POSITIVE REGULATION OF MULTICELLULAR ORGANISM GROWTH		15	0.44351372	1.3446695	0.082840234	0.27495965	0.998	242	"tags=27%, list=5%, signal=28%"
POSITIVE REGULATION OF CELL ADHESION	POSITIVE REGULATION OF CELL ADHESION		16	0.4412052	1.3424414	0.13441955	0.27662253	0.998	259	"tags=19%, list=5%, signal=20%"
RESPONSE TO NICOTINE	RESPONSE TO NICOTINE		15	0.45225757	1.3383288	0.12352941	0.28097054	0.998	763	"tags=40%, list=15%, signal=47%"
INTERMEDIATE FILAMENT CYTOSKELETON	INTERMEDIATE FILAMENT CYTOSKELETON		25	0.42039847	1.3358802	0.1299435	0.28272927	0.998	524	"tags=28%, list=10%, signal=31%"
PHAGOCYTIC VESICLE	PHAGOCYTIC VESICLE		46	0.35944366	1.3328286	0.11328125	0.28559893	0.998	625	"tags=26%, list=12%, signal=29%"
KIDNEY DEVELOPMENT	KIDNEY DEVELOPMENT		36	0.37649015	1.330393	0.11065574	0.2873992	0.998	358	"tags=17%, list=7%, signal=18%"
MALE GONAD DEVELOPMENT	MALE GONAD DEVELOPMENT		29	0.3828135	1.3238134	0.10728745	0.29536846	0.998	606	"tags=34%, list=12%, signal=39%"
ADP BINDING	ADP BINDING		25	0.3957956	1.3223826	0.11923077	0.29580393	0.999	191	"tags=12%, list=4%, signal=12%"
PROTEIN HOMOOLIGOMERIZATION	PROTEIN HOMOOLIGOMERIZATION		61	0.32971132	1.3177747	0.11886793	0.30131373	0.999	153	"tags=10%, list=3%, signal=10%"
WOUND HEALING	WOUND HEALING		27	0.44354224	1.3137332	0.15541922	0.30562124	0.999	786	"tags=33%, list=15%, signal=39%"
NON-MEMBRANE SPANNING PROTEIN TYROSINE KINASE ACTIVITY	NON-MEMBRANE SPANNING PROTEIN TYROSINE KINASE ACTIVITY		16	0.44368124	1.3078338	0.13967611	0.3126766	0.999	435	"tags=25%, list=9%, signal=27%"
REGULATION OF CELL SHAPE	REGULATION OF CELL SHAPE		75	0.35749128	1.3037635	0.13967611	0.31722048	0.999	727	"tags=27%, list=14%, signal=31%"
POSITIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE	POSITIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE		18	0.49745792	1.3035765	0.17864078	0.3157628	0.999	406	"tags=17%, list=8%, signal=18%"
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION	POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION		71	0.31171677	1.3034172	0.077071294	0.31429377	0.999	615	"tags=21%, list=12%, signal=24%"
RESPONSE TO CADMIUM ION	RESPONSE TO CADMIUM ION		18	0.40914568	1.301657	0.13899614	0.31506726	0.999	386	"tags=17%, list=8%, signal=18%"
PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS	PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS		19	0.44262818	1.3001368	0.15277778	0.31552795	0.999	696	"tags=26%, list=14%, signal=30%"
HEME BINDING	HEME BINDING		24	0.35957876	1.2888018	0.1326923	0.3308379	1	852	"tags=38%, list=17%, signal=45%"
REPRESSING TRANSCRIPTION FACTOR BINDING	REPRESSING TRANSCRIPTION FACTOR BINDING		15	0.46497756	1.2876512	0.15090543	0.33077973	1	14	"tags=7%, list=0%, signal=7%"
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION	POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION		22	0.32874763	1.2838058	0.09664694	0.33499983	1	952	"tags=36%, list=19%, signal=45%"
PROTEIN STABILIZATION	PROTEIN STABILIZATION		95	0.2970712	1.2812527	0.09578544	0.33718193	1	657	"tags=21%, list=13%, signal=24%"
ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	ACTIVATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS		25	0.419577	1.2800374	0.16237624	0.3373509	1	728	"tags=32%, list=14%, signal=37%"
FILOPODIUM	FILOPODIUM		43	0.34499732	1.2784678	0.15019763	0.33796456	1	392	"tags=19%, list=8%, signal=20%"
RESPONSE TO ESTRADIOL	RESPONSE TO ESTRADIOL		45	0.32451406	1.2781179	0.13976377	0.33666882	1	742	"tags=27%, list=15%, signal=31%"
POSITIVE REGULATION OF EXOCYTOSIS	POSITIVE REGULATION OF EXOCYTOSIS		17	0.44681412	1.277669	0.184	0.33561358	1	85	"tags=18%, list=2%, signal=18%"
REGULATION OF PROTEIN STABILITY	REGULATION OF PROTEIN STABILITY		37	0.34839848	1.2773436	0.14857143	0.33445793	1	407	"tags=19%, list=8%, signal=20%"
FILAMENTOUS ACTIN	FILAMENTOUS ACTIN		24	0.36818	1.2698556	0.1406551	0.34393725	1	732	"tags=29%, list=14%, signal=34%"
"TRANSFERASE ACTIVITY, TRANSFERRING GLYCOSYL GROUPS"	"TRANSFERASE ACTIVITY, TRANSFERRING GLYCOSYL GROUPS"		30	0.41282663	1.2619154	0.18949343	0.35413054	1	661	"tags=27%, list=13%, signal=30%"
PROTEIN DIMERIZATION ACTIVITY	PROTEIN DIMERIZATION ACTIVITY		31	0.3243737	1.2584678	0.13894325	0.35757676	1	106	"tags=10%, list=2%, signal=10%"
CELL-CELL JUNCTION	CELL-CELL JUNCTION		95	0.31882006	1.2581091	0.16216215	0.35637844	1	553	"tags=23%, list=11%, signal=26%"
PROTEIN CATABOLIC PROCESS	PROTEIN CATABOLIC PROCESS		22	0.4163627	1.251542	0.19767442	0.36479002	1	355	"tags=18%, list=7%, signal=19%"
CELL PERIPHERY	CELL PERIPHERY		37	0.37107387	1.2509003	0.1902834	0.3641433	1	505	"tags=24%, list=10%, signal=27%"
PROTEIN PROCESSING	PROTEIN PROCESSING		20	0.3869364	1.2479159	0.13833992	0.36683577	1	714	"tags=30%, list=14%, signal=35%"
LIPID DROPLET	LIPID DROPLET		30	0.35826156	1.2473407	0.1634981	0.36597872	1	616	"tags=23%, list=12%, signal=26%"
LATE ENDOSOME MEMBRANE	LATE ENDOSOME MEMBRANE		51	0.32755804	1.2464572	0.13545817	0.36574233	1	357	"tags=14%, list=7%, signal=15%"
GOLGI CISTERNA MEMBRANE	GOLGI CISTERNA MEMBRANE		15	0.43288776	1.2442682	0.19642857	0.36719438	1	18	"tags=7%, list=0%, signal=7%"
RESPONSE TO CALCIUM ION	RESPONSE TO CALCIUM ION		29	0.359715	1.240216	0.18972331	0.3716521	1	566	"tags=21%, list=11%, signal=23%"
POSITIVE REGULATION OF STRESS FIBER ASSEMBLY	POSITIVE REGULATION OF STRESS FIBER ASSEMBLY		27	0.39479986	1.2387146	0.22718053	0.37226504	1	283	"tags=15%, list=6%, signal=16%"
NEGATIVE REGULATION OF CELL DEATH	NEGATIVE REGULATION OF CELL DEATH		35	0.3174087	1.2361293	0.14398421	0.37461764	1	211	"tags=11%, list=4%, signal=12%"
RESPONSE TO DRUG	RESPONSE TO DRUG		121	0.26167864	1.2330707	0.1325536	0.3776715	1	673	"tags=19%, list=13%, signal=21%"
CYTOSKELETAL PROTEIN BINDING	CYTOSKELETAL PROTEIN BINDING		47	0.34395465	1.2270865	0.1873805	0.38551033	1	703	"tags=30%, list=14%, signal=34%"
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION	POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION		18	0.42081165	1.2268087	0.217119	0.38411862	1	502	"tags=28%, list=10%, signal=31%"
POSITIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS	POSITIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS		23	0.36786938	1.2237182	0.20883535	0.38716483	1	304	"tags=17%, list=6%, signal=18%"
ACTIN FILAMENT ORGANIZATION	ACTIN FILAMENT ORGANIZATION		54	0.31905794	1.2233137	0.17283951	0.38592705	1	596	"tags=20%, list=12%, signal=23%"
GTPASE BINDING	GTPASE BINDING		26	0.36002806	1.2205642	0.19694072	0.38846305	1	121	"tags=8%, list=2%, signal=8%"
CELLULAR RESPONSE TO GLUCOSE STIMULUS	CELLULAR RESPONSE TO GLUCOSE STIMULUS		27	0.34430796	1.2192471	0.16862746	0.38884884	1	422	"tags=19%, list=8%, signal=20%"
CORTICAL CYTOSKELETON	CORTICAL CYTOSKELETON		18	0.43829304	1.2191126	0.23214285	0.38722917	1	1017	"tags=50%, list=20%, signal=62%"
ADENYLATE CYCLASE-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	ADENYLATE CYCLASE-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY		16	0.40938425	1.2183281	0.21485944	0.38666922	1	0	"tags=6%, list=0%, signal=6%"
REGULATION OF CELL POPULATION PROLIFERATION	REGULATION OF CELL POPULATION PROLIFERATION		55	0.305465	1.2155501	0.1541502	0.3894436	1	758	"tags=25%, list=15%, signal=30%"
NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION	NEGATIVE REGULATION OF CELL POPULATION PROLIFERATION		110	0.27959594	1.1976099	0.13572854	0.41690424	1	555	"tags=16%, list=11%, signal=18%"
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION	REGULATION OF ACTIN CYTOSKELETON ORGANIZATION		41	0.34498185	1.1877319	0.21212122	0.43140137	1	526	"tags=20%, list=10%, signal=22%"
POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING	POSITIVE REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING		22	0.35881394	1.181894	0.22520661	0.4395767	1	304	"tags=23%, list=6%, signal=24%"
LIVER REGENERATION	LIVER REGENERATION		16	0.40418994	1.1765474	0.24409449	0.44667476	1	931	"tags=38%, list=18%, signal=46%"
NUCLEASE ACTIVITY	NUCLEASE ACTIVITY		30	0.39898306	1.1750147	0.2662722	0.4472016	1	670	"tags=20%, list=13%, signal=23%"
REGULATION OF GENE EXPRESSION	REGULATION OF GENE EXPRESSION		60	0.28487065	1.1702405	0.15843621	0.45315695	1	766	"tags=28%, list=15%, signal=33%"
GOLGI MEMBRANE	GOLGI MEMBRANE		150	0.26198074	1.1549677	0.20669292	0.47760126	1	366	"tags=9%, list=7%, signal=10%"
NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY	NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY		18	0.3572287	1.1540588	0.29423076	0.47680384	1	156	"tags=17%, list=3%, signal=17%"
KINASE BINDING	KINASE BINDING		55	0.29463515	1.1537838	0.2524655	0.47525063	1	252	"tags=13%, list=5%, signal=13%"
INTERMEDIATE FILAMENT	INTERMEDIATE FILAMENT		21	0.36516187	1.1520692	0.29101562	0.47609663	1	572	"tags=29%, list=11%, signal=32%"
RESPONSE TO ORGANIC CYCLIC COMPOUND	RESPONSE TO ORGANIC CYCLIC COMPOUND		54	0.28480956	1.1376265	0.2332696	0.4987419	1	647	"tags=24%, list=13%, signal=27%"
NEGATIVE REGULATION OF PROTEIN BINDING	NEGATIVE REGULATION OF PROTEIN BINDING		41	0.31056187	1.1375842	0.26814517	0.49662843	1	692	"tags=17%, list=14%, signal=20%"
BLOOD VESSEL DEVELOPMENT	BLOOD VESSEL DEVELOPMENT		19	0.36179167	1.1295801	0.28256512	0.50837725	1	1033	"tags=37%, list=20%, signal=46%"
REGULATION OF CELL MIGRATION	REGULATION OF CELL MIGRATION		46	0.2674086	1.1265825	0.28301886	0.5114059	1	510	"tags=20%, list=10%, signal=22%"
CORTICAL ACTIN CYTOSKELETON ORGANIZATION	CORTICAL ACTIN CYTOSKELETON ORGANIZATION		15	0.37935317	1.125993	0.3044316	0.5103611	1	502	"tags=33%, list=10%, signal=37%"
Z DISC	Z DISC		60	0.28590697	1.1226966	0.27309236	0.51391304	1	593	"tags=23%, list=12%, signal=26%"
PHOSPHATASE BINDING	PHOSPHATASE BINDING		21	0.39475036	1.1205896	0.3148515	0.5153845	1	392	"tags=14%, list=8%, signal=15%"
PROTEIN DESTABILIZATION	PROTEIN DESTABILIZATION		18	0.3504316	1.1192473	0.30518234	0.5155635	1	181	"tags=17%, list=4%, signal=17%"
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION	NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION		18	0.38536426	1.1186442	0.29263157	0.5143864	1	12	"tags=6%, list=0%, signal=6%"
HEART DEVELOPMENT	HEART DEVELOPMENT		69	0.27682373	1.1158454	0.28235295	0.51717854	1	606	"tags=20%, list=12%, signal=23%"
NUCLEOTIDYLTRANSFERASE ACTIVITY	NUCLEOTIDYLTRANSFERASE ACTIVITY		27	0.35828087	1.1144391	0.30592734	0.51738614	1	221	"tags=11%, list=4%, signal=12%"
CELL MIGRATION	CELL MIGRATION		96	0.2680063	1.1066968	0.3125	0.52903736	1	740	"tags=24%, list=15%, signal=28%"
HEART MORPHOGENESIS	HEART MORPHOGENESIS		19	0.37406108	1.105987	0.33531746	0.52801543	1	195	"tags=16%, list=4%, signal=16%"
CALCIUM-DEPENDENT PHOSPHOLIPID BINDING	CALCIUM-DEPENDENT PHOSPHOLIPID BINDING		27	0.36881593	1.1014119	0.32277226	0.53403956	1	291	"tags=26%, list=6%, signal=27%"
MEMBRANE RAFT	MEMBRANE RAFT		128	0.2660015	1.1013225	0.32695985	0.5319732	1	489	"tags=19%, list=10%, signal=20%"
CYTOPLASMIC SIDE OF PLASMA MEMBRANE	CYTOPLASMIC SIDE OF PLASMA MEMBRANE		28	0.32214078	1.0982844	0.3071161	0.5350443	1	1025	"tags=39%, list=20%, signal=49%"
RECEPTOR-MEDIATED ENDOCYTOSIS	RECEPTOR-MEDIATED ENDOCYTOSIS		27	0.3235442	1.0973616	0.33460075	0.5344112	1	959	"tags=37%, list=19%, signal=45%"
ENDOCYTIC VESICLE	ENDOCYTIC VESICLE		29	0.3345279	1.0943841	0.3372549	0.5376377	1	620	"tags=21%, list=12%, signal=23%"
LAMELLIPODIUM	LAMELLIPODIUM		106	0.24944124	1.0896626	0.3156863	0.5439868	1	625	"tags=18%, list=12%, signal=20%"
POSITIVE REGULATION OF AXON EXTENSION	POSITIVE REGULATION OF AXON EXTENSION		30	0.27580717	1.088121	0.29554656	0.5445923	1	388	"tags=17%, list=8%, signal=18%"
CIS-GOLGI NETWORK	CIS-GOLGI NETWORK		16	0.4007921	1.086432	0.37246963	0.54540825	1	785	"tags=31%, list=15%, signal=37%"
CELLULAR RESPONSE TO RETINOIC ACID	CELLULAR RESPONSE TO RETINOIC ACID		24	0.3481736	1.0856684	0.33861387	0.54478353	1	758	"tags=38%, list=15%, signal=44%"
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS	POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS		22	0.3423677	1.0846646	0.34969324	0.5443891	1	252	"tags=14%, list=5%, signal=14%"
LIPID CATABOLIC PROCESS	LIPID CATABOLIC PROCESS		26	0.32287058	1.083997	0.35177866	0.5434267	1	901	"tags=42%, list=18%, signal=51%"
PROTEIN PHOSPHATASE BINDING	PROTEIN PHOSPHATASE BINDING		50	0.27364945	1.081292	0.32591093	0.54600555	1	927	"tags=32%, list=18%, signal=39%"
HISTONE BINDING	HISTONE BINDING		60	0.3452492	1.078947	0.3972332	0.5479599	1	56	"tags=5%, list=1%, signal=5%"
RESPONSE TO TOXIC SUBSTANCE	RESPONSE TO TOXIC SUBSTANCE		32	0.32826743	1.0726527	0.3627451	0.55669665	1	673	"tags=31%, list=13%, signal=36%"
LUNG DEVELOPMENT	LUNG DEVELOPMENT		23	0.3214798	1.0715683	0.3619403	0.5564778	1	318	"tags=17%, list=6%, signal=18%"
CLEAVAGE FURROW	CLEAVAGE FURROW		21	0.31389767	1.0696044	0.36779323	0.5576503	1	123	"tags=10%, list=2%, signal=10%"
CELL-CELL CONTACT ZONE	CELL-CELL CONTACT ZONE		15	0.3925733	1.0679718	0.36758894	0.5582271	1	480	"tags=40%, list=9%, signal=44%"
PROTEASOMAL UBIQUITIN-INDEPENDENT PROTEIN CATABOLIC PROCESS	PROTEASOMAL UBIQUITIN-INDEPENDENT PROTEIN CATABOLIC PROCESS		18	0.42573592	1.0579005	0.45242718	0.57426804	1	81	"tags=11%, list=2%, signal=11%"
PROTEASOMAL PROTEIN CATABOLIC PROCESS	PROTEASOMAL PROTEIN CATABOLIC PROCESS		23	0.4257862	1.0559831	0.47094187	0.5755594	1	537	"tags=17%, list=11%, signal=19%"
RIBONUCLEOPROTEIN COMPLEX BINDING	RIBONUCLEOPROTEIN COMPLEX BINDING		28	0.34643766	1.0537453	0.41793892	0.5772616	1	13	"tags=4%, list=0%, signal=4%"
CELLULAR RESPONSE TO ORGANIC SUBSTANCE	CELLULAR RESPONSE TO ORGANIC SUBSTANCE		16	0.32779354	1.051354	0.4003795	0.57935107	1	502	"tags=19%, list=10%, signal=21%"
RNA HELICASE ACTIVITY	RNA HELICASE ACTIVITY		37	0.40399197	1.0512705	0.4455253	0.5772929	1	13	"tags=5%, list=0%, signal=5%"
AMYLOID-BETA BINDING	AMYLOID-BETA BINDING		22	0.34523788	1.0477263	0.39607844	0.5812547	1	413	"tags=27%, list=8%, signal=30%"
"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC"	"RNA PHOSPHODIESTER BOND HYDROLYSIS, EXONUCLEOLYTIC"		16	0.37844518	1.04409	0.39923224	0.58540964	1	634	"tags=25%, list=12%, signal=28%"
ACTIVATION OF MAPK ACTIVITY	ACTIVATION OF MAPK ACTIVITY		31	0.28778526	1.0262743	0.4224806	0.6157401	1	1005	"tags=32%, list=20%, signal=40%"
SMOOTH ENDOPLASMIC RETICULUM	SMOOTH ENDOPLASMIC RETICULUM		18	0.34555534	1.021189	0.46577945	0.6227462	1	974	"tags=44%, list=19%, signal=55%"
RAC GTPASE BINDING	RAC GTPASE BINDING		31	0.3034165	1.0191396	0.45186642	0.62410486	1	596	"tags=19%, list=12%, signal=22%"
CELLULAR RESPONSE TO HEAT	CELLULAR RESPONSE TO HEAT		22	0.31817222	1.0178577	0.44970414	0.624208	1	435	"tags=18%, list=9%, signal=20%"
PROTEIN DOMAIN SPECIFIC BINDING	PROTEIN DOMAIN SPECIFIC BINDING		166	0.21188477	1.0166221	0.42505133	0.62412375	1	422	"tags=11%, list=8%, signal=12%"
NOTCH SIGNALING PATHWAY	NOTCH SIGNALING PATHWAY		30	0.32034022	1.0141013	0.43274853	0.62629086	1	656	"tags=20%, list=13%, signal=23%"
CORTICAL ACTIN CYTOSKELETON	CORTICAL ACTIN CYTOSKELETON		26	0.31044447	1.0103133	0.45010182	0.6307528	1	488	"tags=19%, list=10%, signal=21%"
ISOMERASE ACTIVITY	ISOMERASE ACTIVITY		71	0.24756587	1.0083022	0.45614034	0.632079	1	999	"tags=35%, list=20%, signal=43%"
PROMOTER-SPECIFIC CHROMATIN BINDING	PROMOTER-SPECIFIC CHROMATIN BINDING		19	0.36700174	1.0082577	0.46892655	0.62985426	1	346	"tags=11%, list=7%, signal=11%"
ACTIN CYTOSKELETON ORGANIZATION	ACTIN CYTOSKELETON ORGANIZATION		88	0.23912656	1.0014737	0.44238684	0.64032245	1	596	"tags=18%, list=12%, signal=20%"
UBIQUITIN-DEPENDENT ERAD PATHWAY	UBIQUITIN-DEPENDENT ERAD PATHWAY		26	0.32552612	1.000166	0.46783626	0.64033455	1	611	"tags=23%, list=12%, signal=26%"
ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION	ESTABLISHMENT OF MITOTIC SPINDLE ORIENTATION		16	0.30314586	0.9996889	0.454	0.6388571	1	364	"tags=13%, list=7%, signal=13%"
HETEROPHILIC CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES	HETEROPHILIC CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES		23	0.3867798	0.9947692	0.44820717	0.64556557	1	503	"tags=22%, list=10%, signal=24%"
NUCLEAR MEMBRANE	NUCLEAR MEMBRANE		100	0.25622874	0.986963	0.51132077	0.65765655	1	673	"tags=18%, list=13%, signal=20%"
POSITIVE REGULATION OF NEURON DEATH	POSITIVE REGULATION OF NEURON DEATH		23	0.2970497	0.9858068	0.48722985	0.65737534	1	353	"tags=17%, list=7%, signal=19%"
NUCLEIC ACID PHOSPHODIESTER BOND HYDROLYSIS	NUCLEIC ACID PHOSPHODIESTER BOND HYDROLYSIS		28	0.33124572	0.9832776	0.48362234	0.6598223	1	643	"tags=18%, list=13%, signal=20%"
CELL-CELL ADHERENS JUNCTION	CELL-CELL ADHERENS JUNCTION		49	0.26888284	0.98169714	0.4770459	0.66028565	1	965	"tags=39%, list=19%, signal=47%"
RESPONSE TO ETHANOL	RESPONSE TO ETHANOL		52	0.24596262	0.98007023	0.47686118	0.66089624	1	482	"tags=15%, list=9%, signal=17%"
POSITIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION	POSITIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION		31	0.26840013	0.9778051	0.47568712	0.66243047	1	298	"tags=13%, list=6%, signal=14%"
PROTEIN-DNA COMPLEX	PROTEIN-DNA COMPLEX		21	0.3095832	0.9762572	0.47809523	0.6630183	1	125	"tags=10%, list=2%, signal=10%"
NUCLEAR ENVELOPE	NUCLEAR ENVELOPE		84	0.24701893	0.97344863	0.5041152	0.66599095	1	902	"tags=25%, list=18%, signal=30%"
NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY		17	0.34230876	0.9709755	0.4913958	0.667969	1	149	"tags=12%, list=3%, signal=12%"
PROTEIN K48-LINKED UBIQUITINATION	PROTEIN K48-LINKED UBIQUITINATION		20	0.3256279	0.97024804	0.50286806	0.6670648	1	15	"tags=5%, list=0%, signal=5%"
CELL PROJECTION ORGANIZATION	CELL PROJECTION ORGANIZATION		45	0.24946067	0.9632423	0.543021	0.6771814	1	388	"tags=13%, list=8%, signal=14%"
RESPONSE TO ESTROGEN	RESPONSE TO ESTROGEN		25	0.27780908	0.96008563	0.51320755	0.6806587	1	523	"tags=24%, list=10%, signal=27%"
POSITIVE REGULATION OF MAP KINASE ACTIVITY	POSITIVE REGULATION OF MAP KINASE ACTIVITY		17	0.29352057	0.94143516	0.5308151	0.71237165	1	615	"tags=24%, list=12%, signal=27%"
IN UTERO EMBRYONIC DEVELOPMENT	IN UTERO EMBRYONIC DEVELOPMENT		92	0.22527075	0.93831414	0.5714286	0.71574146	1	406	"tags=14%, list=8%, signal=15%"
ESTABLISHMENT OF PROTEIN LOCALIZATION	ESTABLISHMENT OF PROTEIN LOCALIZATION		17	0.29356948	0.9374372	0.54545456	0.7148401	1	121	"tags=12%, list=2%, signal=12%"
INTERCALATED DISC	INTERCALATED DISC		31	0.27464473	0.9364904	0.52929294	0.71418226	1	593	"tags=23%, list=12%, signal=25%"
AUTOPHAGOSOME	AUTOPHAGOSOME		33	0.26098338	0.93367183	0.5839844	0.7169736	1	16	"tags=3%, list=0%, signal=3%"
REGULATION OF PROTEIN PHOSPHORYLATION	REGULATION OF PROTEIN PHOSPHORYLATION		30	0.26862127	0.9331727	0.5327869	0.71541816	1	623	"tags=23%, list=12%, signal=26%"
