pho_protein	iFOT_C_2_1	iFOT_C_2_3	iFOT_C_3_1	iFOT_C_3_2	iFOT_C_4_4	iFOT_C_4_5	iFOT_C_4_8	iFOT_C_5_3	iFOT_Z_1_3	iFOT_Z_1_4	iFOT_Z_2_10	iFOT_Z_2_11	iFOT_Z_4_12	iFOT_Z_5_6	iFOT_Z_5_7	iFOT_Z_6_3
Lmnb2	0.01	639.3409	566.595033	0.01	525.0881	569.4966	0.01	611.884409	308.594707	434.523175	383.057223	0.01	413.041007	291.633078	0.01	0.01
Lmnb2	0.01	0.01	0.01	53.999573	0.01	0.01	0.01	124.183105	0.01	0.01	0.01	0.01	63.670827	0.01	0.01	67.773106
Lmnb2	101.4814	113.6643	0.01	0.01	77.85661	0.01	82.97254	0.01	0.01	68.770523	71.462525	100.148506	0.01	42.051722	0.01	0.01
Lmnb2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	77.92636	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Mapkapk5	0.01	16.81931	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Matr3	80.32167	129.4155	0.01	229.507227	224.6038	116.2234	173.2304	151.465043	0.01	60.363781	0.01	0.01	0.01	69.727932	78.378901	0.01
Matr3	33.5126	0.01	39.258768	15.311267	32.97871	0.01	38.17416	34.03537	0.01	20.727755	16.368138	0.01	27.790897	0.01	0.01	33.156504
Matr3	0.01	0.01	20.989435	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	14.228678	0.01
Matr3	0.01	0.01	501.184756	462.002483	554.0671	371.7021	0.01	0.01	0.01	0.01	362.746395	333.588884	0.01	251.437001	347.597022	290.885161
Matr3	146.6214	134.9688	0.01	0.01	96.16489	93.42055	97.18893	130.678805	68.131504	0.01	65.951129	92.584524	105.981909	89.362059	131.172367	75.861035
Matr3	549.1581	63.28022	400.670574	300.420564	608.8634	323.3865	488.8348	577.520064	143.316396	608.226188	440.837445	595.44773	510.822847	368.067287	510.197553	713.299264
Matr3	483.3403	0.01	326.403312	242.15401	505.5847	323.3865	445.43	516.292858	39.726136	650.71529	394.869768	503.31221	402.052276	322.780376	633.041073	606.961685
Marcksl1	0.01	126.6368	0.01	34.549792	0.01	0.01	106.7149	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	35.469438
Marcksl1	0.01	0.01	0.01	34.549792	38.68975	112.0142	0.01	30.333869	0.01	0.01	0.01	25.585601	0.01	0.01	0.01	102.053379
Marcksl1	163.7277	0.01	148.399509	0.01	135.1241	0.01	0.01	276.643457	78.105963	102.848743	0.01	144.841624	131.596756	0.01	107.32791	0.01
Marcksl1	33497.38	31951.51	23733.84037	27137.7689	25318.28	28406.89	25739.16	27467.37935	24447.6263	22247.78528	26298.1011	23490.48204	21366.76457	27280.41624	21932.16457	23657.85901
Marcksl1	222.4636	314.6985	0.01	250.69939	275.6289	282.8717	208.6268	291.646428	0.01	294.318797	236.311658	250.695928	284.992296	253.451824	263.81412	0.01
Marcksl1	3873.277	3585.918	3584.37876	4905.981049	5114.89	2713.843	2578.33	4065.783997	2991.403795	2420.733466	3230.022418	3835.526128	3145.891228	3757.680695	3293.72448	3836.761265
Marcksl1	43201.11	56064.36	51173.393	53229.72785	54008.71	47390.11	51952.3	47616.61991	48691.22304	49267.48729	45771.25097	43111.2446	45966.97287	51078.98894	43633.12705	38134.05035
Marcksl1	6194.909	8419.236	5801.055363	5521.667159	6159.2	6001.297	5215.513	6375.633761	5435.879059	7345.550245	6612.19042	5262.666512	6193.892133	4567.62519	5383.666028	5382.276368
Marcksl1	2447.647	2938.135	1947.906703	2217.231276	2375.553	2446.468	2435.504	2726.936529	2825.090969	2551.83008	2902.713659	2465.374651	2057.419755	3654.931894	2739.884051	2597.41297
Marcksl1	0.01	0.01	0.01	0.01	0.01	41.55044	0.01	0.01	59.557952	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Marcksl1	0.01	0.01	71.261828	87.451218	0.01	0.01	28.00924	101.557118	147.375435	0.01	0.01	0.01	40.158005	80.456685	105.538183	104.455734
Marcksl1	86.13031	89.91662	77.12328	77.410871	58.20747	44.6033	0.01	93.615601	119.141767	95.907522	127.636241	154.139451	88.879819	94.983487	106.896147	128.846311
Marcksl1	0.01	163.4671	123.133698	34.549792	0.01	164.8335	0.01	349.521014	249.289636	129.219862	141.791045	398.445714	119.433852	143.203005	324.504669	254.582907
Marcksl1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	45.21845	0.01	0.01	51.602598	0.01	51.003156	0.01	0.01	0.01
Marcksl1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2613.790479	3344.772859	0.01	0.01	0.01	0.01	0.01
Morc1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1418.989243	0.01	0.01	0.01	0.01
Msh6	0.01	0.01	61.48044	0.01	70.01238	0.01	0.01	51.44594	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Map6	368.8821	444.7471	335.152286	447.167017	474.4249	613.3464	446.9329	506.517879	427.197664	480.80718	461.384524	482.927451	455.081519	420.223238	415.57183	396.962485
Map6	67.3732	113.9725	71.533658	96.073678	53.25448	70.22622	75.15547	74.413475	91.669618	101.42738	70.29477	65.292018	58.808856	81.560894	73.420592	70.148768
Map6	41.08261	0.01	0.01	29.21226	0.01	0.01	0.01	18.508553	0.01	23.636719	0.01	39.45083	23.992701	27.073198	24.235829	0.01
Map6	0.01	0.01	0.01	0.01	0.01	0.01	118.864	98.901215	0.01	0.01	0.01	88.301721	0.01	101.601571	91.241259	126.717557
Map6	0.01	0.01	0.01	0.01	0.01	0.01	25.09176	0.01	20.373501	12.955795	24.881271	0.01	0.01	0.01	0.01	18.267908
Mapt	2209.011	1797.038	2297.865636	2675.046713	2892.28	2332.734	1972.659	1847.607411	4055.087471	4303.418831	4531.832422	3369.805873	2961.150364	3776.8968	3101.102498	3516.914378
Mapt	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ndn	62.01606	64.46107	0.01	0.01	47.52915	42.94147	0.01	0.01	81.302905	57.889505	54.048133	72.027071	72.364815	67.464304	60.039422	59.657817
Nefh	0.01	0.01	0.01	0.01	0.01	38.10136	0.01	0.01	28.879522	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Nefl	0.01	59.92542	0.01	43.633779	43.12469	0.01	94.71286	57.529895	56.253967	59.325357	70.30152	58.886465	154.608002	0.01	86.408299	50.835836
Nudc	38.56333	58.13732	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	24.173658	0.01	23.369795	28.361254	0.01
Sqstm1	0.01	0.01	0.01	0.01	0.01	177.0811	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	60.684157
Sqstm1	179.7586	145.0941	155.087253	0.01	225.7275	302.6255	86.46174	0.01	196.924444	83.556842	59.988156	103.968489	70.284486	186.704539	103.734528	66.905589
Sqstm1	0.01	0.01	58.750436	0.01	82.13156	0.01	0.01	0.01	0.01	0.01	0.01	87.521146	0.01	80.958599	0.01	0.01
Sqstm1	0.01	0.01	58.750436	0.01	0.01	0.01	86.46174	0.01	81.037092	0.01	59.988156	87.521146	70.284486	0.01	115.447839	66.905589
Pak1	392.908	284.0249	349.832919	200.083712	229.7939	209.7475	160.3876	300.908038	218.182313	167.851964	251.330466	274.493114	0.01	235.44031	252.504717	380.759934
Pak1	147.1084	119.3938	0.01	144.529222	232.9556	138.2006	161.6487	0.01	119.687762	0.01	125.104981	171.319016	137.31447	110.162776	129.549774	87.338954
Pak1	149.1579	119.3938	0.01	144.529222	105.5833	138.2006	161.6487	0.01	119.687762	122.837527	125.104981	171.319016	0.01	0.01	129.549774	176.833354
Pak1	128.6527	131.7189	134.65498	169.118602	105.8023	190.4498	152.5369	175.425792	168.590199	188.14434	175.595175	206.576153	191.843336	183.599847	184.724899	194.964461
Pak1	149.1579	119.3938	0.01	144.529222	105.5833	138.2006	0.01	0.01	302.136166	122.837527	125.104981	355.797288	137.31447	110.162776	0.01	0.01
Pak1	0.01	0.01	17.318827	0.01	0.01	0.01	0.01	0.01	0.01	21.266631	0.01	52.815247	51.545573	0.01	0.01	0.01
Phf2	0.01	0.01	11.179244	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Phf2	52.06577	0.01	0.01	0.01	0.01	32.63035	36.06382	0.01	15.116148	0.01	30.361617	0.01	25.205801	0.01	30.400289	20.554817
Phf2	0.01	0.01	24.597936	18.592388	19.3025	0.01	0.01	0.01	12.519081	16.890074	14.930382	0.01	0.01	18.848275	0.01	12.893974
Phf2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	11.016042	0.01	11.380548	0.01	0.01	11.220333
Pikfyve	0.01	0.01	0.01	34.318553	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Prkca	0.01	0.01	92.31427	0.01	0.01	0.01	0.01	0.01	0.01	55.297242	0.01	0.01	0.01	0.01	0.01	0.01
Prkcg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	142.594298	0.01	0.01	0.01	0.01	0.01
Prkcg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.612743	0.01	0.01	22.75599	22.054783	0.01	0.01
Prkcd	50.81983	0.01	47.36867	45.42279	0.01	40.67059	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	32.226925	0.01
Prkcd	58.20315	0.01	84.521203	0.01	62.03578	0.01	80.90109	0.01	0.01	38.288491	0.01	30.119846	0.01	48.818946	0.01	0.01
Prkcd	0.01	80.31317	89.370042	0.01	0.01	77.92346	0.01	0.01	0.01	52.800886	0.01	0.01	0.01	0.01	56.771952	0.01
Pa2g4	200.8118	219.8163	131.027577	130.673905	132.8672	162.5531	202.8255	192.775596	121.160511	102.993639	81.655064	0.01	85.535977	0.01	75.816179	85.697344
Ppard	0.01	0.01	0.01	0.01	41.39719	0.01	0.01	0.01	0.01	180.423439	0.01	0.01	0.01	0.01	0.01	0.01
Purb	0.01	0.01	0.01	0.01	0.01	34.78721	0.01	26.526551	0.01	0.01	0.01	31.894446	0.01	0.01	34.650369	0.01
Purb	0.01	0.01	0.01	63.168253	0.01	0.01	48.18039	0.01	0.01	76.484524	0.01	0.01	0.01	50.401406	0.01	52.955914
Purb	0.01	0.01	0.01	63.168253	0.01	0.01	48.18039	0.01	0.01	76.484524	0.01	0.01	0.01	50.401406	0.01	52.955914
Purb	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ranbp2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	47.849083	0.01
Rangap1	0.01	0.01	124.31283	0.01	0.01	0.01	0.01	124.50789	178.166656	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rangap1	17.73743	17.18185	17.944396	0.01	0.01	23.21998	18.374	0.01	49.28607	0.01	36.793716	45.634644	0.01	35.472357	0.01	47.322391
Dpf2	32.0475	0.01	0.01	0.01	37.95932	27.87195	0.01	0.01	0.01	0.01	17.656718	0.01	21.336134	0.01	0.01	0.01
Rnf2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Khdrbs1	285.0752	250.9819	223.476862	191.443171	222.6325	224.3135	0.01	272.903192	218.12484	306.614279	216.554332	199.060525	289.96977	236.379605	222.845388	0.01
Khdrbs1	598.5798	0.01	445.882604	0.01	420.9904	0.01	0.01	0.01	0.01	492.681773	0.01	482.506078	0.01	332.245025	452.807901	0.01
Khdrbs1	0.01	0.01	90.199035	0.01	64.03565	0.01	80.21376	0.01	0.01	89.345792	0.01	64.866501	62.344777	75.186597	64.097994	69.895187
Khdrbs1	0.01	0.01	325.827248	0.01	0.01	379.6929	316.172	356.907253	383.582754	447.970928	303.697167	324.643352	0.01	349.639903	413.357304	345.879073
Sin3a	81.43571	93.50319	82.395166	0.01	42.03429	44.70876	39.26506	41.153399	20.341172	64.153853	25.854624	32.599036	38.358457	36.201565	50.278098	44.697818
Sin3a	0.01	0.01	0.01	41.274759	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	44.486718	0.01	0.01
Slc4a1	580.7429	371.3325	428.420661	386.511943	454.5405	419.3905	436.9277	304.637826	148.977498	262.786611	246.288197	219.238052	177.03216	365.622253	390.341553	435.88731
Smn1	25.43021	34.35464	11.446573	0.01	0.01	23.62569	0.01	22.510742	28.766731	0.01	22.377011	0.01	0.01	0.01	24.783193	15.631991
Eftud2	118.05	105.0436	145.960238	0.01	83.19625	0.01	93.66715	99.098181	0.01	0.01	77.227047	86.395183	64.662493	32.808632	64.000499	83.301663
Sox2	0.01	0.01	0.01	0.01	54.7839	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	112.390679	0.01
Tex264	0.01	0.01	28.966122	33.190905	34.52432	28.50381	36.16367	61.463984	0.01	0.01	0.01	0.01	0.01	0.01	14.757239	0.01
Trim28	0.01	333.1751	281.08327	0.01	0.01	248.3525	234.9535	257.963083	0.01	135.954088	0.01	192.657044	0.01	0.01	0.01	165.595671
Trim28	185.2882	149.1985	138.579417	112.393642	128.8008	151.7973	143.961	122.297257	104.522044	105.753568	83.430321	62.539972	83.755573	59.939191	85.252289	114.865939
Trim28	0.01	0.01	50.976271	0.01	0.01	0.01	0.01	34.48483	0.01	0.01	0.01	0.01	0.01	0.01	63.134188	0.01
Trim28	0.01	0.01	401.597677	0.01	347.5573	0.01	369.3717	560.201691	207.154659	317.405601	0.01	0.01	228.051269	0.01	252.288835	296.277114
Trim28	37.25955	0.01	0.01	0.01	0.01	0.01	43.63076	0.01	0.01	31.486647	21.774909	0.01	0.01	0.01	17.790026	0.01
Trim28	0.01	0.01	0.01	0.01	0.01	403.3613	0.01	0.01	0.01	287.515573	278.37782	0.01	0.01	0.01	0.01	0.01
Trim28	0.01	0.01	0.01	0.01	0.01	49.37119	45.83358	0.01	0.01	62.486166	0.01	0.01	57.601499	0.01	55.807449	54.279211
Tmpo	78.84845	44.85796	0.01	0.01	0.01	56.8727	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Tmpo	0.01	0.01	0.01	0.01	0.01	294.1786	0.01	273.207023	0.01	0.01	0.01	0.01	221.727325	0.01	0.01	181.851607
Tmpo	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	57.646971	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Hsp90b1	31.1729	85.36803	0.01	0.01	0.01	66.52156	65.32896	75.055712	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Tuba1a	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	13.567966	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Zrsr1	0.01	0.01	0.01	0.01	25.8011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.02562	32.048649	0.01
Zrsr1	0.01	0.01	0.01	0.01	9.591729	0.01	0.01	11.146411	0.01	10.44633	9.722737	0.01	0.01	0.01	13.374205	8.669165
Zrsr1	0.01	0.01	0.01	0.01	0.01	0.01	29.09909	0.01	0.01	0.01	18.647622	29.011844	24.962032	19.185273	32.296564	0.01
Vdac1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	32.807915	0.01	0.01
Vim	20.27598	0.01	0.01	0.01	0.01	25.57542	0.01	23.513384	0.01	0.01	0.01	0.01	0.01	0.01	0.01	20.847771
Vim	124.7667	137.0793	123.547745	118.322119	121.5632	85.48672	105.9582	116.555897	60.402089	59.811795	54.49701	66.985797	59.357654	51.832576	63.696176	58.479996
Vim	0.01	0.01	97.831884	0.01	45.19883	57.01997	0.01	0.01	29.502387	30.833233	22.185985	0.01	0.01	0.01	0.01	21.887457
Ywhaz	59.20051	0.01	34.553944	0.01	32.37399	0.01	0.01	0.01	0.01	27.181848	19.985477	0.01	38.623922	15.757923	0.01	19.103394
Sf1	296.3272	125.5751	0.01	238.223896	207.7859	79.0855	0.01	0.01	0.01	206.594463	202.554779	161.751787	203.049034	215.844185	0.01	0.01
Sf1	296.3272	125.5751	0.01	238.223896	207.7859	79.0855	0.01	0.01	0.01	206.594463	202.554779	161.751787	203.049034	215.844185	0.01	0.01
Apc2	0.01	0.01	0.01	0.01	41.71335	0.01	0.01	0.01	0.01	48.173866	47.526933	35.279933	0.01	0.01	37.472845	37.133069
Apc2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	15.162358	0.01	0.01	12.394549	8.092275	10.228603	13.438507
Cfdp1	0.01	0.01	24.913872	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Fyb	0.01	37.00118	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Fyb	65.72243	0.01	65.53179	0.01	56.55044	0.01	0.01	52.338574	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Mta2	54.3801	49.12429	0.01	0.01	0.01	0.01	0.01	52.943093	0.01	0.01	0.01	58.622589	0.01	40.141583	0.01	0.01
Pcbp1	45.971	49.65127	30.589903	30.238086	53.62969	36.08798	0.01	38.664079	59.37332	56.582678	39.509252	30.409972	0.01	40.264194	61.251144	36.683962
Pcbp1	0.01	0.01	0.01	0.01	0.01	0.01	32.78166	0.01	0.01	0.01	0.01	0.01	52.857584	0.01	0.01	0.01
Pcbp1	0.01	40.94123	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	44.675047	27.188889	30.495962	39.74794	0.01	58.945786
Pcbp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	39.8964	0.01	44.675047	27.188889	0.01	23.297377	27.176692	58.945786
Pcbp1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	37.300643	0.01	0.01	0.01	22.644573	0.01
Prkra	457.417	413.8663	385.683907	284.966557	341.0054	337.1448	335.2364	374.780903	392.124695	419.62646	350.252096	375.076808	415.070285	344.463027	384.011352	322.402725
Nelfa	83.6993	70.1685	0.01	46.481922	54.89817	0.01	0.01	51.705767	0.01	41.147087	47.638983	73.747099	0.01	67.938253	62.62234	48.917288
Nelfa	0.01	0.01	0.01	0.01	0.01	0.01	46.10578	0.01	0.01	0.01	0.01	0.01	56.402439	0.01	0.01	0.01
Nelfa	0.01	34.74825	0.01	0.01	0.01	0.01	0.01	0.01	37.461695	21.544003	0.01	0.01	0.01	0.01	0.01	0.01
Clcn6	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	30.456697	0.01
Map3k2	0.01	0.01	32.213684	0.01	0.01	0.01	46.10473	0.01	0.01	0.01	53.094354	0.01	0.01	0.01	27.222653	0.01
Map3k2	0.01	0.01	0.01	61.161326	33.33488	0.01	46.10473	45.526471	33.379667	30.503422	0.01	28.496526	28.306512	23.473763	27.222653	52.624923
Mapk1	129.3933	98.63702	0.01	77.126342	129.0198	172.5583	82.11075	141.438617	80.146259	129.157763	71.415275	85.88401	139.158688	62.475287	110.628807	142.292826
Mapk1	103.5715	0.01	0.01	0.01	45.98068	73.12421	0.01	34.369584	0.01	143.398996	0.01	93.441084	0.01	0.01	45.17076	60.086905
Mapk3	0.01	0.01	47.976237	0.01	52.97545	37.07044	44.74794	81.323014	63.754926	40.524723	0.01	49.77722	0.01	0.01	50.202191	28.994424
Mapk3	0.01	0.01	0.01	45.579804	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	54.826877	0.01	0.01	0.01
Mapk3	0.01	0.01	0.01	0.01	42.22094	0.01	0.01	0.01	12.787768	30.145321	0.01	67.892094	0.01	38.326809	0.01	0.01
Psma5	86.41136	81.11076	0.01	68.324029	75.03204	77.551	65.96059	97.489972	84.305876	92.374814	0.01	0.01	86.805871	0.01	69.616899	0.01
Psma5	0.01	0.01	0.01	0.01	0.01	0.01	26.30983	23.561578	33.057099	41.178136	37.754245	0.01	30.709739	36.755103	0.01	37.699624
Casp8ap2	0.01	0.01	0.01	0.01	0.01	0.01	75.35411	109.23252	0.01	0.01	0.01	132.614913	0.01	0.01	0.01	0.01
Acot1	0.01	35.52254	80.728181	49.130229	80.59547	53.2906	0.01	73.385688	0.01	61.9328	49.726766	0.01	33.964241	0.01	0.01	46.365453
Gprin1	0.01	0.01	0.01	0.01	0.01	277.1613	0.01	0.01	0.01	0.01	0.01	115.207393	0.01	0.01	0.01	0.01
Gprin1	416.721	488.4332	382.407543	504.215521	390.2973	535.6139	436.8016	421.906155	519.829957	0.01	467.317797	476.040428	447.640833	448.703227	364.595947	402.94168
Gprin1	25.52456	0.01	30.119151	70.343328	44.34365	45.791	0.01	35.415182	46.844899	0.01	106.360159	0.01	0.01	52.981957	0.01	47.14822
Gprin1	399.5233	596.6388	424.919272	418.095594	399.6681	428.8731	434.6366	358.562609	445.452562	568.724708	477.402335	464.72554	453.537225	455.500566	439.820194	456.961303
Gprin1	567.695	681.797	489.753485	650.105533	575.2942	573.8673	487.0902	493.254079	691.825438	737.383951	581.514736	658.701963	622.031103	590.120855	579.822809	518.561691
Gprin1	0.01	388.9676	266.0696	254.962565	0.01	0.01	308.8152	226.490372	0.01	287.777766	382.733221	360.681065	318.309466	0.01	404.826504	0.01
Gprin1	0.01	0.01	60.341813	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	74.103056	0.01
Gprin1	435.9884	0.01	0.01	0.01	446.7982	530.9201	0.01	0.01	1068.712574	677.127808	0.01	0.01	0.01	0.01	0.01	0.01
Gprin1	1402.294	1426.598	1138.626671	1357.078765	1388.668	1389.512	1200.411	1223.182111	1744.093517	2023.234735	1485.950713	1376.023061	1744.668469	1814.846415	1601.840508	1369.075469
Gprin1	0.01	837.6767	0.01	0.01	625.3956	662.2416	699.6792	0.01	483.499764	0.01	903.828475	0.01	671.895183	1019.529105	0.01	817.80171
Gprin1	285.8767	372.3036	393.028724	311.449624	378.2981	304.7634	319.9764	271.059251	391.535596	492.033189	411.819083	515.925755	395.326304	540.639384	454.514062	610.658643
Gprin1	160.9071	100.9314	124.600862	123.441734	185.4541	0.01	0.01	0.01	0.01	133.270057	155.858099	162.193883	168.672557	207.404873	129.38264	143.247095
Gprin1	2473.418	1230.14	1681.837103	1388.100971	1278.008	1157.958	1195.051	1134.861552	4873.504629	1436.818883	1146.154406	2695.886145	2398.057659	2383.800874	1957.069985	1726.559252
Gprin1	0.01	0.01	0.01	0.01	91.39093	80.51549	0.01	85.653131	123.581566	112.611991	92.434855	0.01	86.850541	96.360163	0.01	131.909314
Gprin1	0.01	0.01	260.750008	0.01	270.734	0.01	0.01	197.134001	0.01	230.985333	303.298916	438.565904	386.041401	287.194731	272.602585	373.225882
Gprin1	0.01	0.01	0.01	0.01	76.21291	0.01	0.01	0.01	0.01	110.190153	87.500586	100.113967	98.471028	87.920852	99.960085	90.935813
Gprin1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	17.031655	0.01
Slc9a3r1	0.01	0.01	55.016821	72.553898	86.796	0.01	64.14558	75.603655	0.01	0.01	0.01	40.833761	0.01	0.01	31.47134	0.01
Slc9a3r1	412.9973	338.5226	423.245086	333.222264	366.6513	510.0072	363.2762	371.973085	213.11031	136.940763	217.539836	66.98856	131.698858	227.208934	119.479948	241.23649
Slc9a3r1	519.1865	696.2339	578.206325	602.544494	499.3661	550.2464	621.9604	585.409196	438.591709	0.01	334.733787	327.157772	321.366145	313.667067	346.803136	0.01
Slc9a3r1	652.1614	0.01	0.01	975.676922	667.4594	906.6414	0.01	0.01	0.01	348.440999	497.976414	0.01	461.073632	0.01	0.01	405.390747
Slc9a3r1	165.0772	38.80094	0.01	109.986091	0.01	72.26812	0.01	95.353725	60.8317	83.287748	68.917765	0.01	84.004447	60.833313	0.01	0.01
Slc9a3r1	0.01	0.01	77.583231	0.01	91.92899	0.01	72.70253	0.01	0.01	0.01	0.01	66.98856	0.01	0.01	54.852696	73.452007
Slc9a3r1	0.01	38.80094	0.01	109.986091	0.01	0.01	0.01	0.01	0.01	0.01	148.628821	0.01	0.01	0.01	0.01	0.01
Rps3	0.01	298.669	268.292847	0.01	0.01	0.01	0.01	0.01	208.986615	218.006768	0.01	168.376316	0.01	168.908131	0.01	0.01
Add2	0.01	31.43489	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Add2	0.01	410.1762	319.157506	0.01	385.7452	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Add2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	97.597884	0.01	0.01	0.01	0.01	0.01	62.477438	0.01	0.01
Add2	151.106	121.3463	112.746543	100.403464	96.29822	93.83862	92.92412	23.378232	86.770035	71.585651	107.581914	0.01	70.227054	97.3855	114.946437	90.074969
Add2	0.01	219.1689	139.50652	145.690175	123.2488	193.6613	198.2959	143.534004	128.100389	153.107045	146.219062	114.046891	118.929723	114.357337	112.376751	99.704409
Add2	38.44563	69.8461	31.82304	49.779221	36.28325	25.99919	40.09007	33.702203	35.740375	47.437655	32.813226	33.224878	42.334055	28.316508	53.086646	33.759095
Add2	0.01	61.61124	51.965481	85.196874	0.01	0.01	44.79733	0.01	0.01	0.01	53.059254	0.01	71.516092	0.01	73.622545	61.151281
Add2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	23.378232	0.01	0.01	25.053396	0.01	0.01	0.01	0.01	0.01
Add2	564.4483	594.4506	557.315001	411.738896	493.6522	426.8398	465.9343	471.24204	565.269639	642.552801	493.939899	620.571204	501.735766	595.383773	536.973819	518.575038
Add2	1296.064	537.2597	1135.206291	824.143914	909.9858	810.8939	1143.449	0.01	1104.776953	1032.558326	933.056087	1008.530958	1226.436844	1076.3887	1181.985868	0.01
Add2	351.2278	317.7412	351.579113	321.060798	272.7243	230.3755	274.6063	266.082707	256.078648	391.992674	298.094646	398.915441	478.845767	259.223825	328.578561	389.21489
Add2	131.2399	79.95969	0.01	45.784398	79.81553	50.53989	46.09212	57.805439	62.750584	53.448089	50.174293	78.320027	62.382427	101.393636	68.98945	138.282228
Add2	243.537	167.1702	0.01	273.062024	0.01	173.6415	0.01	181.062383	0.01	316.550023	218.282339	323.690084	404.381478	184.675375	0.01	313.26043
Add2	0.01	0.01	0.01	0.01	0.01	0.01	73.5454	121.920088	0.01	0.01	111.105427	111.118007	91.234547	81.02313	97.536641	89.507746
Add2	0.01	0.01	0.01	0.01	54.38202	0.01	0.01	101.717415	43.077537	100.075015	47.438507	72.710937	117.098268	35.135358	61.738618	38.029281
Add2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	117.503784	0.01	0.01	48.803918	0.01	35.135358	0.01	0.01
Add2	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	19.787309	19.156574	37.069039	0.01	0.01	0.01	20.208478
Ahsg	0.01	0.01	0.01	0.01	0.01	0.01	0.01	30.7058	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Ahsg	0.01	0.01	2026.485445	0.01	80.80689	23.12401	3848.84	2769.891961	593.460202	734.417028	0.01	0.01	497.568727	0.01	0.01	0.01
