protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Grin3a	0.1	0.08	0.02	0.02	0.09	0.01	0.05	0.12	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Armcx2	0.25	0.18	0.38	0.01	0.27	0.25	0.31	0.11	0.01	0.01	0.01	0.01	0.08	0.01	0.1	0.01
Tub	0.34	0.19	0.18	0.25	0.2	0.01	0.41	0.22	0.09	0.01	0.17	0.01	0.01	0.01	0.01	0.01
Slc7a1	0.82	1.66	0.79	1.09	0.86	0.01	1.58	1.85	0.01	0.01	0.63	0.01	0.69	0.01	0.01	0.01
Baalc	0.78	0.83	1.3	1.22	0.86	1.16	0.01	1.1	0.01	0.01	0.01	0.01	0.57	0.69	0.01	0.01
Cdk17	0.09	0.22	0.01	0.19	0.06	0.12	0.04	0.04	0.01	0.01	0.05	0.01	0.09	0.01	0.01	0.01
Ube2e3	0.18	0.25	0.06	0.12	0.11	0.01	0.08	0.16	0.01	0.01	0.09	0.01	0.01	0.01	0.01	0.09
Cbl	0.23	0.11	0.07	0.32	0.24	0.01	0.53	0.26	0.01	0.01	0.3	0.01	0.01	0.01	0.01	0.07
Tmem65	0.16	0.13	0.12	0.15	0.01	0.17	0.19	0.14	0.01	0.01	0.01	0.01	0.15	0.01	0.11	0.01
Tdrd3	0.14	0.09	0.06	0.07	0.05	0.01	0.05	0.14	0.11	0.01	0.01	0.01	0.01	0.01	0.04	0.01
Gpcpd1	0.06	0.11	0.05	0.16	0.04	0.01	0.04	0.11	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.11
Gemin4	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01
Thra	0.1	0.26	0.36	0.1	0.07	0.23	0.12	0.22	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.06
2410002F23Rik	1.22	1.14	1.49	1.04	1.26	0.5	1.67	1.41	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.55
Hdhd3	0.28	0.31	0.4	0.12	0.33	0.17	0.14	0.14	0.01	0.01	0.13	0.01	0.01	0.01	0.01	0.01
Kif13b	0.12	0.02	0.03	0.02	0.02	0.01	0.02	0.04	0.01	0.04	0.01	0.01	0.01	0.01	0.01	0.01
Rab2b	0.53	0.65	1.01	1.07	1.01	0.97	0.16	0.34	1.06	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Morf4l1	0.2	0.49	0.01	0.57	1.17	0.12	1.26	0.01	0.11	0.06	0.01	0.01	0.01	0.01	0.16	0.1
Smarcal1	0.15	0.19	0.01	0.12	0.12	0.01	0.08	0.2	0.03	0.01	0.08	0.01	0.02	0.01	0.01	0.05
Rhot1	0.05	0.13	0.02	0.01	0.13	0.01	0.11	0.08	0.01	0.01	0.03	0.02	0.01	0.03	0.07	0.01
Nr2f2	0.28	1.1	0.71	0.01	0.19	0.07	1.32	1.08	0.01	0.01	0.14	0.01	0.11	0.01	0.01	0.1
Camk1d	1.42	1.22	0.66	0.15	3.25	0.01	1.18	0.39	0.28	0.01	0.01	0.34	0.01	0.01	0.01	0.4
Cluh	0.07	0.06	0.04	0.08	0.03	0.01	0.1	0.15	0.03	0.01	0.01	0.01	0.02	0.01	0.01	0.01
Bod1	0.01	1.17	1.94	1.76	2.56	0.32	1.37	2.06	0.01	0.01	0.01	0.3	0.28	0.01	1.25	0.01
Faah	0.26	0.5	0.38	0.42	0.34	0.12	0.32	0.01	0.01	0.01	0.01	0.15	0.01	0.08	0.15	0.01
Txnrd3	0.03	0.05	0.01	0.1	0.11	0.03	0.1	0.04	0.01	0.01	0.04	0.01	0.02	0.02	0.01	0.01
Csdc2	3.45	0.49	3.17	2.68	2	0.54	4.94	0.01	0.01	0.01	0.01	0.01	1.05	1.74	0.46	0.01
Purg	0.37	0.45	0.3	0.33	0.42	0.01	0.42	0.5	0.01	0.01	0.31	0.01	0.1	0.14	0.01	0.01
Dip2a	0.02	0.01	0.02	0.03	0.05	0.06	0.11	0.04	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0.01
Ahsa2	0.4	0.43	0.01	0.54	0.75	0.8	2	0.51	0.01	0.01	0.36	0.01	0.63	0.3	0.01	0.01
Prkci	0.14	0.11	0.15	0.09	0.41	0.01	0.35	0.25	0.01	0.08	0.01	0.12	0.01	0.16	0.01	0.01
Pccb	0.09	0.05	0.14	0.01	0.03	0.04	0.07	0.01	0.01	0.02	0.01	0.05	0.04	0.01	0.01	0.01
Cwc22	0.05	0.06	0.05	0.07	0.06	0.01	0.07	0.07	0.05	0.01	0.05	0.01	0.01	0.02	0.01	0.01
Ptp4a3	0.12	0.01	0.11	0.14	0.11	0.13	0.16	0.14	0.01	0.01	0.1	0.01	0.08	0.01	0.01	0.08
Slc6a17	0.1	0.07	0.09	0.09	0.12	0.01	0.12	0.13	0.01	0.01	0.08	0.01	0.07	0.01	0.01	0.08
Rftn2	0.11	0.01	0.12	0.11	0.21	0.1	0.09	0.24	0.01	0.19	0.01	0.01	0.01	0.07	0.01	0.09
Khnyn	0.03	0.04	0.01	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.01
Lyrm4	0.72	0.72	0.64	0.9	0.69	0.01	0.88	0.78	0.59	0.01	0.01	0.01	0.6	0.01	0.85	0.01
2900011O08Rik	0.2	0.17	0.59	0.1	0.72	0.06	0.06	0.52	0.01	0.01	0.01	0.1	0.01	0.09	0.01	0.01
Ptp4a2	2.31	1.54	1.18	1.43	2.09	0.72	1.48	0.91	0.01	0.01	0.52	0.01	0.45	0.01	0.01	0.01
Exoc6	0.06	0.11	0.06	0.21	0.12	0.05	0.19	0.32	0.06	0.01	0.04	0.01	0.01	0.01	0.01	0.01
Enc1	0.52	0.61	0.39	0.12	0.49	0.04	0.12	0.6	0.19	0.01	0.09	0.01	0.01	0.01	0.01	0.01
Cyp46a1	0.04	0.06	0.04	0.04	0.16	0.05	0.1	0.19	0.01	0.01	0.01	0.01	0.04	0.01	0.03	0.01
Ndn	0.22	0.03	0.38	0.21	0.08	0.11	0.34	0.24	0.01	0.01	0.13	0.01	0.01	0.01	0.06	0.01
Pabpc4	0.22	0.25	0.89	0.39	0.33	0.18	0.47	0.9	0.01	0.18	0.29	0.01	0.01	0.01	0.01	0.01
Brd9	0.14	0.23	0.14	0.12	0.23	0.1	0.24	0.38	0.12	0.09	0.01	0.01	0.01	0.01	0.01	0.01
Neurod2	0.33	0.41	0.33	0.17	0.22	0.14	0.41	0.38	0.01	0.01	0.09	0.01	0.01	0.01	0.01	0.23
Wsb2	0.21	0.3	0.14	0.22	0.17	0.15	0.18	0.17	0.01	0.01	0.12	0.12	0.01	0.01	0.01	0.01
Cck	4.94	6.95	5.28	7.5	4.83	7.14	4.61	2.77	0.01	0.01	0.01	5.92	0.01	0.01	0.01	2.97
Trap1	0.04	0.06	0.04	0.04	0.05	0.03	0.11	0.07	0.01	0.01	0.01	0.01	0.05	0.01	0.06	0.01
0610010K14Rik	0.57	1.16	1.53	0.7	1.32	0.8	0.87	1.01	0.01	1.09	0.01	0.01	0.01	0.01	0.92	0.01
Mrpl16	0.38	0.71	0.17	0.39	0.27	0.33	0.44	0.22	0.01	0.01	0.01	0.01	0.6	0.01	0.21	0.01
Cnksr2	0.13	0.28	0.14	0.24	0.29	0.32	0.09	0.37	0.32	0.01	0.2	0.01	0.01	0.01	0.01	0.01
Mcmbp	0.53	0.44	0.23	0.35	0.58	0.01	0.2	0.63	0.01	0.18	0.01	0.03	0.01	0.01	0.01	0.06
BC037034	0.57	0.16	0.01	0.53	0.18	0.12	0.13	0.15	0.01	0.04	0.11	0.01	0.03	0.01	0.01	0.04
Atg2b	0.06	0.04	0.01	0.05	0.13	0.01	0.07	0.04	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01
Zer1	0.1	0.09	0.1	0.16	0.19	0.01	0.2	0.18	0.05	0.03	0.12	0.01	0.01	0.05	0.01	0.01
Sun2	0.13	0.39	0.05	0.07	0.42	0.01	0.44	0.41	0.25	0.01	0.16	0.01	0.1	0.01	0.06	0.01
Slc4a7	0.21	0.17	0.12	0.21	0.24	0.21	0.03	0.01	0.18	0.04	0.01	0.07	0.01	0.01	0.01	0.07
Atp6v0c	3.45	2.99	2.02	1.38	2.88	5.22	4.09	0.01	2.45	0.01	2.46	1.72	0.01	1.22	0.01	0.01
Arhgap39	0.09	0.08	0.07	0.01	0.05	0.07	0.09	0.07	0.09	0.01	0.01	0.01	0.04	0.04	0.01	0.03
Romo1	2.88	3.54	2.78	3.54	0.01	2.48	3.64	4.44	2.89	0.01	2.82	1.09	0.01	0.01	0.01	2.87
Adnp2	0.03	0.02	0.02	0.03	0.02	0.01	0.05	0.03	0.02	0.01	0.02	0.01	0.03	0.01	0.01	0.01
Met	0.17	0.47	0.02	0.09	0.06	0.06	0.1	0.08	0.02	0.01	0.03	0.01	0.03	0.01	0.01	0.01
Whsc1	0.16	0.38	0.31	0.53	0.8	0.07	0.88	1.43	0.19	0.01	0.17	0.01	0.01	0.01	0.01	0.18
Macrod2	0.63	0.09	1.43	0.34	0.73	0.3	1.66	0.99	0.01	0.01	0.65	0.07	0.01	0.02	0.01	0.01
Gnl3l	0.32	0.31	0.25	0.1	0.24	0.04	0.09	0.3	0.08	0.01	0.1	0.01	0.01	0.01	0.01	0.04
1500009L16Rik	13.64	4.59	10.58	8.71	14.88	9.51	5.02	5.63	0.01	0.01	2.01	2.81	0.01	0.01	5.45	0.01
Atrn	0.22	0.2	0.26	0.21	0.38	0.26	0.38	0.33	0.01	0.01	0.01	0.13	0.15	0.01	0.01	0.05
Bmpr2	0.27	0.16	0.19	0.1	0.2	0.14	0.09	0.2	0.03	0.01	0.09	0.01	0.01	0.01	0.14	0.01
Kpna2	0.36	0.25	0.28	0.18	0.38	0.04	0.37	0.41	0.17	0.01	0.21	0.09	0.01	0.01	0.01	0.01
Gtf2e1	0.74	1.02	1.44	1.42	0.85	0.45	2.04	1.34	0.01	0.01	1.2	0.01	0.55	0.22	0.01	0.01
Sox1	0.44	0.86	0.65	0.53	0.46	0.7	0.22	0.38	0.09	0.5	0.01	0.01	0.32	0.01	0.01	0.01
Gbf1	0.09	0.08	0.1	0.09	0.08	0.04	0.09	0.07	0.09	0.03	0.01	0.01	0.01	0.02	0.01	0.01
Nostrin	0.2	0.14	0.09	0.2	0.17	0.14	0.21	0.24	0.14	0.01	0.07	0.01	0.01	0.01	0.01	0.11
Cap2	0.32	1.15	0.24	0.73	0.66	0.75	0.52	0.82	0.01	0.36	0.48	0.01	0.01	0.01	0.48	0.01
Dner	0.28	0.53	1.17	0.07	0.28	1.4	0.92	0.5	0.62	0.01	0.5	0.3	0.01	0.01	0.01	0.01
Atp2c1	0.12	0.1	0.14	0.25	0.13	0.08	0.11	0.15	0.01	0.01	0.12	0.01	0.01	0.11	0.09	0.01
Ugdh	0.16	0.45	0.17	0.14	0.29	0.12	0.29	0.51	0.01	0.19	0.33	0.11	0.01	0.01	0.01	0.01
Cnot2	0.66	0.96	0.93	0.07	0.49	0.56	0.5	0.3	0.4	0.32	0.01	0.01	0.85	0.01	0.01	0.01
Disp2	0.02	0.02	0.03	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01
Ptprk	0.29	0.36	0.29	0.01	0.25	0.01	0.26	0.44	0.05	0.07	0.14	0.01	0.05	0.01	0.1	0.05
Nol9	0.01	0.83	1.42	0.7	0.77	0.01	1.76	0.97	0.43	0.14	0.5	0.17	0.16	0.01	0.01	0.18
Dock3	0.18	0.25	0.14	0.47	0.33	0.01	0.02	0.27	0.04	0.01	0.2	0.01	0.02	0.01	0.03	0.03
Gabra5	0.18	0.49	0.45	0.01	0.7	0.49	0.22	0.82	0.1	0.07	0.17	0.01	0.11	0.21	0.01	0.01
Sbno1	0.1	0.18	0.12	0.11	0.4	0.01	0.13	0.15	0.12	0.02	0.07	0.01	0.03	0.01	0.01	0.02
Pmm1	0.01	0.18	1.04	0.64	1.03	0.64	0.46	0.72	0.12	0.25	0.01	0.01	0.16	0.4	0.01	0.24
Gdap1	1.01	1.43	0.91	0.87	2.12	0.01	1.01	0.89	0.61	0.39	0.03	0.01	0.54	0.01	0.01	0.77
Apbb1	0.37	0.35	0.35	0.27	0.57	0.85	0.01	0.58	0.18	0.14	0.12	0.01	0.01	0.14	0.01	0.56
Spcs1	4.87	5.68	7.2	3.91	6.87	0.01	12.53	5.52	3.62	0.01	4.5	0.01	3.3	2.5	2.95	0.01
Mlf2	1.62	2.09	2.22	1.91	1.66	0.01	1.77	2.09	0.23	1.11	1.9	0.01	0.97	0.01	0.01	1.05
Gne	0.14	0.09	0.18	0.34	0.01	0.07	0.25	0.14	0.01	0.01	0.11	0.1	0.01	0.08	0.1	0.1
Pla2g4e	0.07	0.07	0.01	0.1	0.09	0.07	0.2	0.09	0.08	0.04	0.07	0.01	0.01	0.06	0.01	0.04
Ttc9b	3.27	1.46	2.08	0.01	3.05	2.13	2.96	1.35	1.55	0.9	0.01	0.84	2.54	0.01	0.01	1
Mindy3	0.33	0.23	0.01	0.25	0.34	0.28	0.33	0.26	0.25	0.19	0.01	0.01	0.17	0.19	0.01	0.2
Icam5	0.07	0.76	0.13	0.63	0.71	0.06	0.72	0.08	0.01	0.07	0.01	0.24	0.04	0.01	0.01	0.04
Tbc1d23	0.14	0.33	0.37	0.26	0.55	0.03	0.27	0.22	0.01	0.05	0.01	0.13	0.05	0.01	0.05	0.01
Tecpr1	0.17	0.4	0.07	0.57	0.16	0.71	0.22	0.3	0.06	0.01	0.01	0.05	0.01	0.16	0.12	0.01
Sv2b	0.21	2.41	0.76	0.77	0.4	0.6	1.51	0.24	0.25	0.36	0.01	0.01	0.2	0.01	0.01	0.25
Tnfrsf21	0.12	0.1	0.11	0.21	0.09	0.06	0.09	0.06	0.01	0.01	0.02	0.06	0.01	0.01	0.04	0.02
Zeb2	0.53	0.57	1.35	0.32	0.12	0.21	0.38	0.62	0.8	0.04	0.01	0.01	0.04	0.01	0.01	0.05
Aktip	0.6	0.63	0.76	1.01	0.53	0.61	0.93	0.85	0.01	0.35	0.31	0.1	0.01	0.01	0.6	0.01
Nup54	0.37	0.33	0.17	0.19	0.36	0.09	0.84	0.34	0.26	0.01	0.01	0.01	0.14	0.06	0.01	0.16
Osbpl6	0.08	0.2	0.05	0.19	0.08	0.05	0.07	0.12	0.01	0.01	0.09	0.01	0.04	0.04	0.04	0.01
Mtss1	0.54	0.17	0.23	0.76	0.6	0.57	0.02	0.27	0.37	0.01	0.12	0.01	0.01	0.01	0.01	0.24
Med22	0.39	0.35	0.49	0.42	0.68	2.43	0.55	0.75	0.39	0.32	0.01	0.01	0.01	0.41	0.37	0.01
C1qtnf4	0.44	0.27	0.56	0.68	0.57	0.47	0.2	0.14	0.01	0.08	0.14	0.01	0.01	0.01	0.5	0.14
Sccpdh	0.28	0.31	0.27	0.66	0.47	0.19	0.36	0.52	0.23	0.01	0.22	0.01	0.21	0.01	0.01	0.17
Kctd17	1.25	2.15	1.53	0.97	2.07	1.63	2.38	0.38	0.01	0.01	0.58	1.01	0.89	0.01	0.01	0.91
Trpv2	0.22	0.25	0.23	0.45	0.16	0.22	0.14	0.26	0.18	0.06	0.12	0.19	0.01	0.01	0.01	0.01
Timm8b	1.89	4.01	3.71	2.33	7.01	3.59	2.59	4.55	0.01	3.11	1.38	0.01	1.53	2.66	0.01	0.01
Tbc1d14	0.19	0.19	0.21	0.15	0.07	0.17	0.17	0.21	0.11	0.1	0.12	0.07	0.01	0.01	0.01	0.01
Rbm45	0.48	0.2	0.42	0.18	0.49	0.03	0.41	0.72	0.14	0.01	0.46	0.01	0.01	0.01	0.24	0.06
Csnk1g3	0.22	0.11	0.11	0.1	0.08	0.08	0.08	0.11	0.05	0.01	0.01	0.06	0.09	0.07	0.01	0.01
Grm7	0.35	0.25	0.16	0.48	0.36	0.22	0.45	0.15	0.15	0.01	0.1	0.18	0.01	0.01	0.36	0.01
Rictor	0.03	0.01	0.02	0.05	0.02	0.02	0.04	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01
Pnck	0.76	0.94	0.51	0.21	0.62	0.75	0.5	0.58	0.35	0.01	0.59	0.01	0.41	0.01	0.01	0.26
Nsg1	1.39	1.13	1.73	1.28	1.03	0.74	1.58	1.42	0.71	0.01	1.23	0.69	0.01	0.82	0.01	0.01
Trp53i11	2.16	3.51	2.68	2.06	2.87	1.83	3.24	2.9	0.01	1.34	3.41	0.94	1.66	0.01	0.01	0.01
Kirrel3	0.16	0.2	0.05	0.1	0.07	0.08	0.05	0.08	0.05	0.12	0.08	0.01	0.01	0.03	0.01	0.01
Csnk1d	0.61	0.21	0.61	0.65	0.52	1.35	0.63	0.83	0.76	0.35	0.01	0.01	0.01	0.01	0.51	0.58
Lonrf2	0.03	0.01	0.19	0.16	0.05	0.29	0.18	0.16	0.02	0.02	0.03	0.01	0.08	0.01	0.02	0.03
Dyrk1a	8.38	0.14	0.01	8.21	8.29	0.66	7.93	10.01	0.38	0.36	7.31	0.01	0.42	0.01	0.15	0.72
Cuedc2	3.59	1	4.04	3.51	5.86	3.36	3.92	0.01	0.69	0.01	0.18	0.65	0.65	0.01	1.43	2.45
Bcar1	0.1	0.15	0.01	0.14	0.14	0.06	0.15	0.18	0.12	0.03	0.04	0.05	0.02	0.01	0.04	0.01
Arfip2	1.3	1.25	0.8	1	0.97	0.01	1.92	1.15	0.53	0.34	0.81	0.01	0.21	0.22	0.01	0.51
LOC105247253	0.01	2.08	3.6	6.06	2.32	2.55	4.41	0.95	0.91	1.2	3.27	0.01	0.81	0.01	0.59	0.65
Ints4	0.1	0.17	0.05	0.1	0.06	0.01	0.08	0.05	0.05	0.01	0.06	0.01	0.03	0.02	0.04	0.03
Ppp2r2c	0.17	0.01	0.13	0.29	0.31	0.24	0.35	0.17	0.16	0.16	0.17	0.01	0.07	0.01	0.09	0.14
Clip3	0.18	0.54	0.06	0.29	0.11	0.06	0.39	0.07	0.07	0.01	0.05	0.01	0.03	0.04	0.01	0.04
Cpne7	1.1	0.14	0.26	0.67	0.71	1.27	0.81	0.25	0.01	0.01	0.26	0.11	0.28	0.18	0.16	0.01
Kpna6	0.51	0.63	0.26	0.66	0.28	0.02	0.61	0.48	0.08	0.26	0.01	0.14	0.01	0.16	0.01	0.05
Lrp8	0.24	0.18	0.27	0.12	0.17	0.22	0.14	0.13	0.07	0.06	0.11	0.04	0.01	0.03	0.01	0.01
Mex3d	0.37	0.38	1.24	0.43	0.14	0.56	0.5	0.41	0.25	0.15	0.1	0.01	0.11	0.01	0.01	0.25
Stmn3	20.11	22.51	20.96	27.03	28.95	28.65	12.46	23.38	0.01	6.56	12.96	0.01	0.01	8.07	5.94	5.73
Erc2	0.58	0.53	0.13	0.32	0.39	0.14	0.51	0.25	0.01	0.01	0.14	0.09	0.1	0.14	0.19	0.01
Agtpbp1	0.21	0.18	0.14	0.2	0.35	0.12	0.31	0.19	0.01	0.01	0.21	0.03	0.01	0.05	0.06	0.05
Acap3	0.1	0.08	0.07	0.11	0.22	0.11	0.03	0.14	0.01	0.04	0.06	0.05	0.01	0.02	0.01	0.05
Cbs	0.55	0.59	0.02	0.48	0.58	0.18	0.03	0.21	0.03	0.01	0.01	0.07	0.19	0.04	0.01	0.33
Fchsd2	0.15	0.07	0.12	0.15	0.17	0.2	0.18	0.16	0.04	0.04	0.12	0.01	0.01	0.08	0.03	0.01
Klhl22	0.33	0.31	0.31	0.35	0.41	0.14	0.52	0.59	0.29	0.01	0.32	0.08	0.07	0.01	0.06	0.01
Gabra3	0.71	0.79	2.44	0.97	1.84	0.23	0.83	0.75	1.09	0.01	0.01	0.33	0.37	0.01	0.5	0.14
Ankib1	0.34	0.25	0.17	0.27	0.16	0.11	0.14	0.37	0.07	0.01	0.08	0.13	0.01	0.01	0.09	0.23
Cpne4	0.96	0.89	0.91	1.44	1.1	0.46	0.9	0.96	0.01	0.77	0.58	0.26	0.53	0.41	0.01	0.01
Cep170b	0.05	0.1	0.06	0.11	0.1	0.12	0.34	0.16	0.03	0.08	0.06	0.01	0.01	0.15	0.01	0.03
Fam219a	2.87	1.7	3.01	3.55	6.21	7.93	1.47	2.01	0.01	1.08	0.01	3.73	0.01	1.6	3.19	1.15
Trappc9	0.24	0.48	0.16	0.42	0.38	0.21	0.33	0.16	0.19	0.01	0.26	0.01	0.07	0.01	0.09	0.3
Tmem259	0.07	0.06	0.04	0.07	0.07	0.04	0.03	0.04	0.04	0.01	0.04	0.04	0.02	0.01	0.03	0.01
Clcn6	0.18	0.3	0.37	0.37	0.53	0.12	0.45	0.35	0.2	0.01	0.21	0.16	0.01	0.19	0.29	0.01
D430041D05Rik	0.36	0.29	0.16	0.12	0.32	0.47	0.09	0.2	0.23	0.14	0.01	0.22	0.01	0.08	0.01	0.12
Brms1l	0.46	0.66	0.22	0.24	0.45	0.12	0.3	0.17	0.01	0.01	0.41	0.01	0.18	0.1	0.19	0.17
Phf6	0.5	0.55	1.15	0.46	0.52	0.26	0.56	0.48	0.01	0.01	0.01	0.17	0.8	0.29	0.27	0.34
Pip4k2a	1.64	0.42	0.48	1.3	0.16	0.73	0.8	1.38	0.84	0.45	0.74	0.01	0.5	0.01	0.43	0.01
Ablim3	0.24	0.22	0.16	0.34	0.26	0.16	0.37	0.28	0.01	0.14	0.15	0.01	0.15	0.2	0.01	0.24
Grwd1	0.33	0.39	0.42	0.33	0.5	0.26	0.31	0.29	0.22	0.14	0.01	0.24	0.15	0.01	0.52	0.01
Ep300	0.13	0.3	0.31	0.28	0.16	0.01	0.17	0.33	0.09	0.01	0.07	0.01	0.08	0.01	0.06	0.07
Slc38a3	1.51	1.06	0.82	1.23	1.53	0.01	0.94	1.69	0.03	0.01	0.04	0.05	0.04	0.64	0.04	1.34
Memo1	0.01	0.94	0.68	1.49	1.27	0.64	0.75	0.95	0.73	0.01	0.52	0.19	0.17	0.23	0.33	0.21
Igfbp5	2.5	0.01	2.78	2.55	3.16	2.65	0.21	3.21	0.34	0.01	0.33	1.73	0.25	1.31	1.68	1.22
Pja2	0.43	0.84	1.12	0.42	0.23	0.95	0.01	1.2	0.41	0.26	0.3	0.52	0.01	0.21	0.23	0.31
Mindy1	0.43	0.36	1.52	0.01	0.71	1.15	0.96	0.8	0.24	0.64	0.68	0.33	0.23	0.28	0.01	0.23
Dock9	0.09	0.07	0.06	0.23	0.07	0.07	0.35	0.31	0.05	0.01	0.02	0.01	0.02	0.01	0.01	0.02
Crcp	1.5	0.74	0.1	0.58	1.07	0.31	0.75	0.86	0.05	0.01	0.08	0.17	0.34	0.1	0.09	0.01
Necab1	3.37	3.96	2.93	3.36	3.54	1	1.57	3.91	1.27	0.38	0.53	0.59	0.01	0.4	0.01	0.28
Acsl5	0.27	0.24	0.17	0.28	0.19	0.02	0.08	0.23	0.01	0.02	0.06	0.03	0.02	0.04	0.05	0.01
Fam131b	1.07	0.94	3.61	3.72	1.57	5.63	0.19	2.14	0.01	0.49	0.01	0.37	0.49	0.7	0.33	0.48
Reln	0.23	0.16	0.2	0.08	0.15	0.19	0.08	0.2	0.01	0.04	0.1	0.01	0.02	0.01	0.01	0.05
Ptpro	0.27	0.12	0.37	0.45	0.47	0.12	0.24	0.52	0.01	0.05	0.12	0.03	0.08	0.18	0.06	0.01
Ascc2	0.28	0.15	0.12	0.13	0.24	0.02	0.28	0.08	0.03	0.01	0.03	0.05	0.09	0.03	0.03	0.01
Esyt2	0.04	0.15	0.06	0.18	0.13	0.04	0.35	0.21	0.06	0.01	0.03	0.02	0.05	0.01	0.07	0.01
Foxg1	0.89	0.91	0.86	0.79	0.53	0.18	1.19	0.71	0.25	0.23	0.3	0.01	0.33	0.01	0.23	0.2
Ppm1h	1.02	0.51	0.14	0.13	0.11	0.55	0.15	0.55	0.23	0.01	0.07	0.07	0.07	0.06	0.3	0.01
Anks1b	0.35	0.68	0.43	0.46	0.84	1.05	0.56	0.67	0.29	0.1	0.49	0.01	0.21	0.03	0.21	0.01
Kif5a	0.12	0.35	0.22	0.4	0.44	0.26	0.45	0.31	0.36	0.01	0.07	0.04	0.01	0.06	0.05	0.09
Chmp2b	4.7	4.21	1.95	2.43	4.27	1.01	2.52	4.28	1.16	1.12	0.01	1.12	1.21	1.25	0.01	1.15
Dnal1	0.31	0.36	0.3	0.27	0.33	0.23	0.52	0.47	0.11	0.09	0.35	0.15	0.01	0.1	0.1	0.01
Bcl11a	1.11	2.43	2.52	0.72	1.92	0.35	0.82	1.98	1.71	0.01	1.42	0.12	0.15	0.01	0.31	0.32
Oscp1	0.27	0.07	0.11	0.28	0.58	0.11	0.29	0.26	0.1	0.13	0.14	0.1	0.16	0.01	0.04	0.01
Ppp1r14c	6.97	10.88	4.79	13.69	7.44	2.47	6.62	5.64	4.92	4.77	3.31	3.94	0.15	0.01	0.01	3.35
Ipo11	0.65	0.38	0.23	0.09	0.16	0.23	0.7	0.33	0.01	0.01	0.1	0.06	0.28	0.24	0.17	0.15
Trpm3	0.03	0.04	0.03	0.07	0.09	0.03	0.04	0.06	0.02	0.02	0.03	0.01	0.03	0.04	0.01	0.01
Arhgap33	0.07	0.16	0.07	0.08	0.14	0.09	0.19	0.11	0.07	0.01	0.09	0.01	0.02	0.05	0.04	0.08
Ube2r2	2.39	1.24	2	2.45	3.47	2.61	1.89	3.48	0.01	1.77	1.09	1.11	0.01	0.84	2.01	1.5
Dapk1	0.07	0.08	0.04	0.04	0.1	0.03	0.04	0.05	0.03	0.02	0.04	0.01	0.03	0.01	0.05	0.04
Hecw1	0.26	0.39	0.06	0.23	0.35	0.14	0.25	0.37	0.35	0.16	0.24	0.13	0.01	0.01	0.01	0.01
Tacc2	0.31	0.31	0.19	0.19	0.49	0.46	0.15	0.35	0.06	0.01	0.11	0.19	0.09	0.53	0.11	0.01
Impdh1	0.21	0.44	0.22	0.3	0.27	0.3	0.43	0.26	0.31	0.15	0.05	0.01	0.12	0.16	0.01	0.31
Acyp2	4.31	5.42	3.93	4.74	4.36	3.02	2.4	4.52	1.63	1.48	1.89	2.37	0.01	1.68	5.89	0.01
Rims3	0.29	0.38	0.09	0.32	0.66	0.21	0.4	0.59	0.21	0.01	0.38	0.01	0.18	0.26	0.17	0.17
Dcaf8	0.32	0.29	0.39	0.32	0.37	0.45	0.37	0.27	0.01	0.11	0.26	0.13	0.11	0.01	0.4	0.29
Bbip1	7.67	4.49	5.93	6.8	4.09	7.2	4.76	6.93	2.52	5.11	3.59	4.23	3.39	0.01	3.74	0.01
Iqcb1	0.15	0.34	0.34	0.16	0.15	0.13	0.53	0.38	0.01	0.08	0.17	0.01	0.26	0.17	0.11	0.27
Cpne8	0.01	0.08	0.07	0.1	0.18	0.06	0.23	0.06	0.03	0.02	0.06	0.04	0.04	0.03	0.03	0.03
Cdkn2aipnl	5.12	0.01	3.83	4.04	4.54	5.27	3.7	3.97	0.45	3.78	0.54	3.26	3.16	0.54	2.11	0.33
Prkcg	0.45	0.52	0.33	1.01	0.67	1.2	0.44	0.39	0.1	0.06	0.28	0.07	0.07	0.01	0.06	0.12
Zbtb18	4.17	4.21	3.41	3.41	5.36	0.54	3.53	1.45	1.39	1.7	0.06	0.25	0.55	0.01	0.03	0.24
Kazn	0.2	0.18	0.03	0.23	0.35	0.21	0.18	0.19	0.02	0.15	0.03	0.03	0.02	0.03	0.02	0.01
