NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
INTRACELLULAR ORGANELLE	INTRACELLULAR ORGANELLE	16	-0.57043755	-1.3277036	0	0.75600207	1	2126	"tags=56%, list=10%, signal=62%"
DEACETYLASE ACTIVITY	DEACETYLASE ACTIVITY	16	-0.3999771	-1.327581	0.114285715	0.7525824	1	4492	"tags=44%, list=21%, signal=55%"
NEUROTRANSMITTER TRANSPORT	NEUROTRANSMITTER TRANSPORT	42	-0.5142916	-1.3264434	0	0.7509756	1	2126	"tags=48%, list=10%, signal=53%"
EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT	EARLY ENDOSOME TO LATE ENDOSOME TRANSPORT	21	-0.29868025	-1.3258303	0	0.74776703	1	5423	"tags=29%, list=25%, signal=38%"
REGULATION OF NEURON DIFFERENTIATION	REGULATION OF NEURON DIFFERENTIATION	30	-0.49534613	-1.3254023	0.19367589	0.7450975	1	1939	"tags=33%, list=9%, signal=37%"
REGULATION OF CARDIAC MUSCLE CELL CONTRACTION	REGULATION OF CARDIAC MUSCLE CELL CONTRACTION	17	-0.6012373	-1.3247963	0	0.74266046	1	4991	"tags=65%, list=23%, signal=84%"
INTEGRAL COMPONENT OF PRESYNAPTIC ACTIVE ZONE MEMBRANE	INTEGRAL COMPONENT OF PRESYNAPTIC ACTIVE ZONE MEMBRANE	19	-0.7650013	-1.3244203	0	0.74002004	1	1920	"tags=68%, list=9%, signal=75%"
POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY	POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY	33	-0.3658121	-1.3237176	0	0.7375309	1	3400	"tags=39%, list=16%, signal=47%"
NEGATIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION	NEGATIVE REGULATION OF ACTIN FILAMENT POLYMERIZATION	23	-0.37524977	-1.3236661	0.087128714	0.7334174	1	4127	"tags=39%, list=19%, signal=48%"
NEUROTROPHIN TRK RECEPTOR SIGNALING PATHWAY	NEUROTROPHIN TRK RECEPTOR SIGNALING PATHWAY	15	-0.5671758	-1.3229318	0	0.7307588	1	3796	"tags=47%, list=17%, signal=56%"
CAMP-MEDIATED SIGNALING	CAMP-MEDIATED SIGNALING	25	-0.4685681	-1.3226733	0	0.72789687	1	4023	"tags=48%, list=18%, signal=59%"
NERVOUS SYSTEM PROCESS	NERVOUS SYSTEM PROCESS	51	-0.46090132	-1.3225569	0	0.72431946	1	3872	"tags=57%, list=18%, signal=69%"
TRANSMISSION OF NERVE IMPULSE	TRANSMISSION OF NERVE IMPULSE	18	-0.4211132	-1.3224536	0	0.72038835	1	4106	"tags=50%, list=19%, signal=62%"
INHIBITORY SYNAPSE	INHIBITORY SYNAPSE	23	-0.80943817	-1.321337	0	0.72020507	1	2580	"tags=78%, list=12%, signal=89%"
HIPPOCAMPUS DEVELOPMENT	HIPPOCAMPUS DEVELOPMENT	83	-0.51671124	-1.3211449	0	0.7167184	1	4874	"tags=57%, list=22%, signal=73%"
CYTOSKELETON ORGANIZATION	CYTOSKELETON ORGANIZATION	119	-0.36020404	-1.3211272	0	0.71273804	1	3269	"tags=40%, list=15%, signal=47%"
"POSTSYNAPTIC DENSITY, INTRACELLULAR COMPONENT"	"POSTSYNAPTIC DENSITY, INTRACELLULAR COMPONENT"	27	-0.6770245	-1.3202797	0	0.7100589	1	3547	"tags=59%, list=16%, signal=71%"
CATENIN COMPLEX	CATENIN COMPLEX	26	-0.5647508	-1.319999	0.08661418	0.7073883	1	1473	"tags=38%, list=7%, signal=41%"
INWARD RECTIFIER POTASSIUM CHANNEL ACTIVITY	INWARD RECTIFIER POTASSIUM CHANNEL ACTIVITY	20	-0.47352082	-1.3196772	0	0.70380265	1	1737	"tags=35%, list=8%, signal=38%"
NEGATIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION	NEGATIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION	21	-0.535539	-1.3194532	0.1980198	0.70033735	1	5458	"tags=57%, list=25%, signal=76%"
REGULATION OF JNK CASCADE	REGULATION OF JNK CASCADE	19	-0.58525956	-1.319158	0	0.6973099	1	3423	"tags=58%, list=16%, signal=69%"
NEUROBLAST PROLIFERATION	NEUROBLAST PROLIFERATION	19	-0.52157617	-1.318929	0.1027668	0.69394505	1	4981	"tags=47%, list=23%, signal=61%"
NEUROMUSCULAR PROCESS CONTROLLING BALANCE	NEUROMUSCULAR PROCESS CONTROLLING BALANCE	57	-0.5291213	-1.3172934	0	0.6946796	1	3153	"tags=53%, list=14%, signal=61%"
"INOSITOL 1,4,5 TRISPHOSPHATE BINDING"	"INOSITOL 1,4,5 TRISPHOSPHATE BINDING"	16	-0.5446383	-1.3172652	0	0.6910071	1	4214	"tags=56%, list=19%, signal=70%"
ACTIN FILAMENT CAPPING	ACTIN FILAMENT CAPPING	19	-0.52324283	-1.3170606	0.18882467	0.68818194	1	2143	"tags=32%, list=10%, signal=35%"
SEMAPHORIN-PLEXIN SIGNALING PATHWAY	SEMAPHORIN-PLEXIN SIGNALING PATHWAY	35	-0.6315679	-1.3165482	0	0.68776953	1	3608	"tags=69%, list=17%, signal=82%"
RESPONSE TO COCAINE	RESPONSE TO COCAINE	47	-0.5947858	-1.3164805	0	0.6841978	1	4492	"tags=62%, list=21%, signal=78%"
NEGATIVE REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE	NEGATIVE REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE	24	-0.6667069	-1.3163924	0	0.68066597	1	3385	"tags=71%, list=16%, signal=84%"
POSITIVE REGULATION OF NEUROBLAST PROLIFERATION	POSITIVE REGULATION OF NEUROBLAST PROLIFERATION	25	-0.3158731	-1.3159925	0.096969694	0.67802143	1	2913	"tags=20%, list=13%, signal=23%"
REGULATION OF NEURON MIGRATION	REGULATION OF NEURON MIGRATION	19	-0.63701606	-1.3153231	0	0.6765116	1	3562	"tags=63%, list=16%, signal=75%"
VOLTAGE-GATED POTASSIUM CHANNEL ACTIVITY	VOLTAGE-GATED POTASSIUM CHANNEL ACTIVITY	64	-0.55457836	-1.3152688	0	0.6730804	1	4291	"tags=67%, list=20%, signal=83%"
ACETYLCHOLINE-GATED CHANNEL COMPLEX	ACETYLCHOLINE-GATED CHANNEL COMPLEX	15	-0.49050227	-1.3148931	0.08782435	0.67030555	1	3763	"tags=60%, list=17%, signal=72%"
PCG PROTEIN COMPLEX	PCG PROTEIN COMPLEX	26	-0.34891468	-1.3146399	0	0.66854656	1	4753	"tags=35%, list=22%, signal=44%"
CLATHRIN BINDING	CLATHRIN BINDING	38	-0.5571147	-1.3143713	0	0.66556174	1	4092	"tags=55%, list=19%, signal=68%"
POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT	POSITIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT	16	-0.5257609	-1.3132478	0	0.6646657	1	4667	"tags=69%, list=21%, signal=87%"
ION CHANNEL ACTIVITY	ION CHANNEL ACTIVITY	186	-0.47227105	-1.312548	0	0.6626719	1	3292	"tags=52%, list=15%, signal=60%"
PHAGOPHORE ASSEMBLY SITE MEMBRANE	PHAGOPHORE ASSEMBLY SITE MEMBRANE	16	-0.3039487	-1.3123695	0.09448819	0.6609112	1	2412	"tags=19%, list=11%, signal=21%"
REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL	REGULATION OF POSTSYNAPTIC MEMBRANE POTENTIAL	54	-0.5956974	-1.3116416	0	0.6601471	1	3763	"tags=72%, list=17%, signal=87%"
REGULATION OF NEURON PROJECTION DEVELOPMENT	REGULATION OF NEURON PROJECTION DEVELOPMENT	38	-0.65607166	-1.311431	0	0.65742683	1	3559	"tags=63%, list=16%, signal=75%"
NEGATIVE REGULATION OF PROTEIN CATABOLIC PROCESS	NEGATIVE REGULATION OF PROTEIN CATABOLIC PROCESS	38	-0.3751943	-1.310582	0.18181819	0.6566547	1	3434	"tags=32%, list=16%, signal=37%"
SEMAPHORIN RECEPTOR BINDING	SEMAPHORIN RECEPTOR BINDING	22	-0.61421406	-1.3103738	0.09486166	0.6535054	1	3385	"tags=68%, list=16%, signal=81%"
CYCLIC NUCLEOTIDE BIOSYNTHETIC PROCESS	CYCLIC NUCLEOTIDE BIOSYNTHETIC PROCESS	21	-0.44177237	-1.3090676	0.09486166	0.65569144	1	3015	"tags=48%, list=14%, signal=55%"
POSITIVE REGULATION OF AXONOGENESIS	POSITIVE REGULATION OF AXONOGENESIS	39	-0.60513467	-1.308803	0	0.6537319	1	3907	"tags=59%, list=18%, signal=72%"
CYTOPLASMIC DYNEIN COMPLEX	CYTOPLASMIC DYNEIN COMPLEX	25	-0.5030485	-1.3087159	0.27592954	0.6509766	1	5701	"tags=48%, list=26%, signal=65%"
REGULATION OF NEURONAL SYNAPTIC PLASTICITY	REGULATION OF NEURONAL SYNAPTIC PLASTICITY	24	-0.51894796	-1.307905	0	0.6504631	1	2176	"tags=50%, list=10%, signal=55%"
POSITIVE REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS	POSITIVE REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS	38	-0.44007298	-1.3052087	0	0.65441495	1	3075	"tags=37%, list=14%, signal=43%"
INTEGRAL COMPONENT OF PRESYNAPTIC MEMBRANE	INTEGRAL COMPONENT OF PRESYNAPTIC MEMBRANE	88	-0.67307526	-1.3045585	0	0.65299517	1	3173	"tags=65%, list=15%, signal=75%"
REGULATION OF PHOSPHORYLATION	REGULATION OF PHOSPHORYLATION	18	-0.45924154	-1.304212	0.2016129	0.65099543	1	3664	"tags=39%, list=17%, signal=47%"
NERVOUS SYSTEM DEVELOPMENT	NERVOUS SYSTEM DEVELOPMENT	401	-0.5494836	-1.3039931	0	0.648289	1	3758	"tags=52%, list=17%, signal=62%"
CHEMOREPELLENT ACTIVITY	CHEMOREPELLENT ACTIVITY	26	-0.68008906	-1.30271	0	0.6490637	1	3741	"tags=69%, list=17%, signal=83%"
SIALYLATION	SIALYLATION	18	-0.70041645	-1.3021673	0	0.6481962	1	2390	"tags=61%, list=11%, signal=69%"
PRESYNAPTIC CYTOSOL	PRESYNAPTIC CYTOSOL	20	-0.6291988	-1.301954	0	0.64565724	1	5150	"tags=75%, list=24%, signal=98%"
ADULT LOCOMOTORY BEHAVIOR	ADULT LOCOMOTORY BEHAVIOR	57	-0.44817922	-1.3017548	0.08695652	0.64288265	1	4207	"tags=49%, list=19%, signal=61%"
REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS	REGULATION OF CALCIUM ION-DEPENDENT EXOCYTOSIS	17	-0.6699304	-1.299887	0	0.64575	1	4092	"tags=71%, list=19%, signal=87%"
PROTEIN PHOSPHATASE INHIBITOR ACTIVITY	PROTEIN PHOSPHATASE INHIBITOR ACTIVITY	36	-0.4415195	-1.2995169	0	0.6439376	1	4369	"tags=47%, list=20%, signal=59%"
CILIARY TRANSITION ZONE	CILIARY TRANSITION ZONE	33	-0.35282218	-1.2987149	0.17821783	0.6440926	1	4858	"tags=33%, list=22%, signal=43%"
MICROTUBULE CYTOSKELETON	MICROTUBULE CYTOSKELETON	158	-0.30986166	-1.2979953	0	0.64305013	1	3866	"tags=35%, list=18%, signal=42%"
POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT	POSITIVE REGULATION OF DENDRITIC SPINE DEVELOPMENT	31	-0.59572595	-1.2973168	0	0.6418934	1	3594	"tags=58%, list=16%, signal=69%"
GLUTAMATE RECEPTOR BINDING	GLUTAMATE RECEPTOR BINDING	15	-0.75279224	-1.2970026	0	0.6396887	1	1506	"tags=67%, list=7%, signal=72%"
NEURONAL ACTION POTENTIAL	NEURONAL ACTION POTENTIAL	32	-0.5221162	-1.2967265	0	0.6376624	1	3173	"tags=50%, list=15%, signal=58%"
DENDRITIC SPINE	DENDRITIC SPINE	188	-0.5595838	-1.2960743	0	0.63554454	1	4130	"tags=56%, list=19%, signal=68%"
AXON EXTENSION	AXON EXTENSION	26	-0.6343971	-1.295167	0	0.63466	1	3611	"tags=58%, list=17%, signal=69%"
REGULATION OF HEART RATE BY CARDIAC CONDUCTION	REGULATION OF HEART RATE BY CARDIAC CONDUCTION	34	-0.5139805	-1.2942077	0.18181819	0.63488483	1	3237	"tags=44%, list=15%, signal=52%"
DEVELOPMENTAL PIGMENTATION	DEVELOPMENTAL PIGMENTATION	15	-0.52756953	-1.2932239	0.1765835	0.6347322	1	4160	"tags=53%, list=19%, signal=66%"
NEUROPEPTIDE HORMONE ACTIVITY	NEUROPEPTIDE HORMONE ACTIVITY	23	-0.41970935	-1.2931273	0	0.63229847	1	2028	"tags=26%, list=9%, signal=29%"
AXONOGENESIS	AXONOGENESIS	93	-0.6281255	-1.2926115	0	0.63108134	1	4241	"tags=66%, list=19%, signal=81%"
GOLGI-ASSOCIATED VESICLE	GOLGI-ASSOCIATED VESICLE	21	-0.45842817	-1.2922894	0.1194332	0.62916106	1	3813	"tags=38%, list=17%, signal=46%"
TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY	TRANSMEMBRANE RECEPTOR PROTEIN TYROSINE KINASE ACTIVITY	53	-0.44248918	-1.2922741	0.18145956	0.6265256	1	2052	"tags=32%, list=9%, signal=35%"
SARCOPLASMIC RETICULUM	SARCOPLASMIC RETICULUM	64	-0.4014798	-1.2922726	0.092307694	0.6240387	1	3421	"tags=31%, list=16%, signal=37%"
CENTRAL NERVOUS SYSTEM DEVELOPMENT	CENTRAL NERVOUS SYSTEM DEVELOPMENT	83	-0.31492525	-1.2916379	0.18110237	0.623841	1	2943	"tags=29%, list=13%, signal=33%"
HEPARAN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS	HEPARAN SULFATE PROTEOGLYCAN BIOSYNTHETIC PROCESS	17	-0.58449644	-1.2911035	0	0.62259936	1	3554	"tags=41%, list=16%, signal=49%"
"SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	"SYNAPTIC TRANSMISSION, GLUTAMATERGIC"	39	-0.6611205	-1.2906694	0	0.6213174	1	2437	"tags=62%, list=11%, signal=69%"
GOLGI VESICLE TRANSPORT	GOLGI VESICLE TRANSPORT	18	-0.3678652	-1.2906365	0.1875	0.6187758	1	1762	"tags=17%, list=8%, signal=18%"
PRESYNAPTIC ACTIVE ZONE	PRESYNAPTIC ACTIVE ZONE	44	-0.7171466	-1.2895184	0	0.6194807	1	3080	"tags=66%, list=14%, signal=77%"
SYNAPSE ORGANIZATION	SYNAPSE ORGANIZATION	60	-0.62078714	-1.2894571	0	0.6173695	1	3173	"tags=60%, list=15%, signal=70%"
MICROFILAMENT MOTOR ACTIVITY	MICROFILAMENT MOTOR ACTIVITY	15	-0.35405433	-1.289282	0	0.6151298	1	1317	"tags=20%, list=6%, signal=21%"
ATP-DEPENDENT CHROMATIN REMODELING	ATP-DEPENDENT CHROMATIN REMODELING	20	-0.47619972	-1.2892516	0.09486166	0.6126599	1	5370	"tags=60%, list=25%, signal=80%"
PHOSPHORUS-OXYGEN LYASE ACTIVITY	PHOSPHORUS-OXYGEN LYASE ACTIVITY	22	-0.40280804	-1.288658	0.09486166	0.6118273	1	3015	"tags=45%, list=14%, signal=53%"
AXON	AXON	445	-0.51885194	-1.2863644	0	0.6144969	1	4159	"tags=54%, list=19%, signal=65%"
SOMATODENDRITIC COMPARTMENT	SOMATODENDRITIC COMPARTMENT	21	-0.76057655	-1.2856016	0	0.61454976	1	2022	"tags=67%, list=9%, signal=73%"
POSTSYNAPTIC MEMBRANE	POSTSYNAPTIC MEMBRANE	204	-0.60214144	-1.2837157	0	0.6150204	1	3666	"tags=64%, list=17%, signal=76%"
PROTEIN LOCALIZATION TO ORGANELLE	PROTEIN LOCALIZATION TO ORGANELLE	26	-0.33088303	-1.2837024	0.19427402	0.612604	1	6337	"tags=42%, list=29%, signal=60%"
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM	REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM	16	-0.55868924	-1.2836263	0.31102362	0.6104932	1	6223	"tags=69%, list=29%, signal=96%"
CEREBRAL CORTEX NEURON DIFFERENTIATION	CEREBRAL CORTEX NEURON DIFFERENTIATION	17	-0.65734875	-1.2832803	0	0.6090312	1	3848	"tags=59%, list=18%, signal=71%"
MIDBODY	MIDBODY	151	-0.18958052	-1.2830023	0	0.6078206	1	3928	"tags=25%, list=18%, signal=30%"
POSTSYNAPTIC DENSITY	POSTSYNAPTIC DENSITY	319	-0.559975	-1.282909	0	0.6054758	1	4332	"tags=57%, list=20%, signal=70%"
POSITIVE REGULATION OF DENDRITE DEVELOPMENT	POSITIVE REGULATION OF DENDRITE DEVELOPMENT	18	-0.61947626	-1.282669	0	0.6037273	1	3184	"tags=56%, list=15%, signal=65%"
GABA-A RECEPTOR ACTIVITY	GABA-A RECEPTOR ACTIVITY	19	-0.58766735	-1.2826535	0	0.6014187	1	1856	"tags=63%, list=9%, signal=69%"
"SYNAPTIC TRANSMISSION, GABAERGIC"	"SYNAPTIC TRANSMISSION, GABAERGIC"	16	-0.7105588	-1.281984	0	0.60071516	1	2765	"tags=81%, list=13%, signal=93%"
VOLTAGE-GATED CALCIUM CHANNEL COMPLEX	VOLTAGE-GATED CALCIUM CHANNEL COMPLEX	25	-0.68753546	-1.2819085	0	0.5986748	1	2875	"tags=68%, list=13%, signal=78%"
"RETROGRADE TRANSPORT, ENDOSOME TO PLASMA MEMBRANE"	"RETROGRADE TRANSPORT, ENDOSOME TO PLASMA MEMBRANE"	16	-0.48432004	-1.2810491	0.27865613	0.5981326	1	4311	"tags=44%, list=20%, signal=54%"
MOLECULAR ADAPTOR ACTIVITY	MOLECULAR ADAPTOR ACTIVITY	57	-0.28844962	-1.2798897	0.11811024	0.5987228	1	2463	"tags=19%, list=11%, signal=22%"
MICROTUBULE PLUS-END	MICROTUBULE PLUS-END	22	-0.5462326	-1.2798887	0.19762845	0.59648216	1	4146	"tags=59%, list=19%, signal=73%"
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT	CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT	18	-0.4586295	-1.2775337	0	0.60079116	1	2030	"tags=39%, list=9%, signal=43%"
CLATHRIN-COATED VESICLE	CLATHRIN-COATED VESICLE	62	-0.4000208	-1.2772207	0.19762845	0.599852	1	4184	"tags=42%, list=19%, signal=52%"
CELL-CELL ADHESION MEDIATOR ACTIVITY	CELL-CELL ADHESION MEDIATOR ACTIVITY	20	-0.42984948	-1.2770716	0.107569724	0.5981915	1	4329	"tags=50%, list=20%, signal=62%"
VENTRICULAR SYSTEM DEVELOPMENT	VENTRICULAR SYSTEM DEVELOPMENT	20	-0.3504563	-1.2764078	0.105906315	0.59753275	1	3344	"tags=30%, list=15%, signal=35%"
LOCOMOTORY EXPLORATION BEHAVIOR	LOCOMOTORY EXPLORATION BEHAVIOR	16	-0.61981803	-1.2760793	0	0.59657264	1	4991	"tags=75%, list=23%, signal=97%"
STRESS GRANULE ASSEMBLY	STRESS GRANULE ASSEMBLY	15	-0.4238724	-1.2759126	0.115234375	0.5946397	1	7023	"tags=60%, list=32%, signal=88%"
NADP BINDING	NADP BINDING	36	-0.36030245	-1.2757607	0.1	0.5927062	1	3875	"tags=33%, list=18%, signal=40%"
CELLULAR RESPONSE TO RETINOIC ACID	CELLULAR RESPONSE TO RETINOIC ACID	58	-0.35569805	-1.2753245	0.18145956	0.5912669	1	1805	"tags=26%, list=8%, signal=28%"
NEURON DEVELOPMENT	NEURON DEVELOPMENT	58	-0.5583845	-1.2751435	0	0.5896344	1	4344	"tags=60%, list=20%, signal=75%"
ION TRANSMEMBRANE TRANSPORT	ION TRANSMEMBRANE TRANSPORT	173	-0.330419	-1.2747827	0	0.5892326	1	2875	"tags=38%, list=13%, signal=43%"
GROWTH CONE	GROWTH CONE	173	-0.5405891	-1.2746199	0	0.58753157	1	3710	"tags=52%, list=17%, signal=62%"
MITOCHONDRIAL FISSION	MITOCHONDRIAL FISSION	18	-0.44365767	-1.2737573	0.16996047	0.5873981	1	2935	"tags=33%, list=13%, signal=38%"
DENDRITE MORPHOGENESIS	DENDRITE MORPHOGENESIS	44	-0.66763836	-1.2730893	0	0.5872804	1	3573	"tags=55%, list=16%, signal=65%"
APICAL JUNCTION COMPLEX	APICAL JUNCTION COMPLEX	22	-0.4649458	-1.2726662	0.28402367	0.5859665	1	4403	"tags=50%, list=20%, signal=63%"
PHOSPHORIC DIESTER HYDROLASE ACTIVITY	PHOSPHORIC DIESTER HYDROLASE ACTIVITY	56	-0.26247975	-1.2717191	0	0.58612615	1	3565	"tags=30%, list=16%, signal=36%"
RESPONSE TO LEAD ION	RESPONSE TO LEAD ION	23	-0.48350325	-1.2715861	0	0.584222	1	4395	"tags=43%, list=20%, signal=54%"
SYNTAXIN BINDING	SYNTAXIN BINDING	63	-0.4161323	-1.2709955	0.11857708	0.5835272	1	4105	"tags=41%, list=19%, signal=51%"
SNARE BINDING	SNARE BINDING	63	-0.47850704	-1.270912	0	0.5814984	1	5623	"tags=62%, list=26%, signal=83%"
AMPA GLUTAMATE RECEPTOR COMPLEX	AMPA GLUTAMATE RECEPTOR COMPLEX	28	-0.7548483	-1.2708721	0	0.57948506	1	4549	"tags=86%, list=21%, signal=108%"
EMBRYONIC PATTERN SPECIFICATION	EMBRYONIC PATTERN SPECIFICATION	22	-0.34184217	-1.2698326	0.17864078	0.58020306	1	2084	"tags=27%, list=10%, signal=30%"
REGULATION OF CENTROSOME DUPLICATION	REGULATION OF CENTROSOME DUPLICATION	18	-0.30768526	-1.2696229	0.23517786	0.57940066	1	15117	"tags=100%, list=69%, signal=325%"
HIPPOCAMPAL MOSSY FIBER TO CA3 SYNAPSE	HIPPOCAMPAL MOSSY FIBER TO CA3 SYNAPSE	45	-0.6996446	-1.269387	0	0.57791436	1	3704	"tags=67%, list=17%, signal=80%"
AXONAL GROWTH CONE	AXONAL GROWTH CONE	41	-0.577724	-1.2687126	0	0.5775994	1	4594	"tags=59%, list=21%, signal=74%"
POSITIVE REGULATION OF CELL SIZE	POSITIVE REGULATION OF CELL SIZE	15	-0.46944574	-1.2686052	0.09486166	0.5761654	1	4281	"tags=40%, list=20%, signal=50%"
MODULATION OF CHEMICAL SYNAPTIC TRANSMISSION	MODULATION OF CHEMICAL SYNAPTIC TRANSMISSION	90	-0.5582697	-1.2685279	0	0.57433176	1	3594	"tags=62%, list=16%, signal=74%"
POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE	POTASSIUM ION IMPORT ACROSS PLASMA MEMBRANE	37	-0.38788044	-1.2685049	0.17726398	0.57239723	1	1944	"tags=35%, list=9%, signal=39%"
SYNAPTIC VESICLE	SYNAPTIC VESICLE	156	-0.54775375	-1.2684193	0	0.57047683	1	4075	"tags=53%, list=19%, signal=65%"
INTERCELLULAR BRIDGE	INTERCELLULAR BRIDGE	71	-0.20925348	-1.2680737	0	0.5698719	1	1227	"tags=11%, list=6%, signal=12%"
NEGATIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION	NEGATIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION	28	-0.32768023	-1.2679752	0.08695652	0.5682239	1	3490	"tags=39%, list=16%, signal=47%"
MICROTUBULE DEPOLYMERIZATION	MICROTUBULE DEPOLYMERIZATION	15	-0.38534	-1.2675623	0.10865191	0.5671014	1	2695	"tags=33%, list=12%, signal=38%"
NEGATIVE REGULATION OF AXON EXTENSION	NEGATIVE REGULATION OF AXON EXTENSION	26	-0.46751055	-1.2674729	0	0.5656962	1	3741	"tags=58%, list=17%, signal=70%"
POSITIVE REGULATION OF INSULIN SECRETION	POSITIVE REGULATION OF INSULIN SECRETION	48	-0.3506467	-1.2671167	0.09677419	0.5652294	1	3540	"tags=38%, list=16%, signal=45%"
CALCIUM ION TRANSMEMBRANE TRANSPORT	CALCIUM ION TRANSMEMBRANE TRANSPORT	119	-0.37715045	-1.2661011	0.1923077	0.5651551	1	3906	"tags=44%, list=18%, signal=53%"
REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION	21	-0.5807603	-1.2660773	0	0.5633093	1	5236	"tags=62%, list=24%, signal=81%"
POSITIVE REGULATION OF CILIUM ASSEMBLY	POSITIVE REGULATION OF CILIUM ASSEMBLY	15	-0.44291362	-1.2660557	0.115234375	0.5614766	1	2099	"tags=33%, list=10%, signal=37%"
CEREBELLAR PURKINJE CELL DIFFERENTIATION	CEREBELLAR PURKINJE CELL DIFFERENTIATION	15	-0.55173683	-1.2654963	0	0.560874	1	4770	"tags=67%, list=22%, signal=85%"
AXOLEMMA	AXOLEMMA	17	-0.7269658	-1.265389	0	0.5592713	1	3173	"tags=71%, list=15%, signal=83%"
HETEROCHROMATIN	HETEROCHROMATIN	36	-0.28366405	-1.2643236	0.18426104	0.5603309	1	3379	"tags=31%, list=15%, signal=36%"
NUCLEAR RECEPTOR BINDING	NUCLEAR RECEPTOR BINDING	24	-0.3797339	-1.2637137	0	0.5601881	1	5370	"tags=50%, list=25%, signal=66%"
ADIPOSE TISSUE DEVELOPMENT	ADIPOSE TISSUE DEVELOPMENT	34	-0.33004236	-1.2632437	0.18568665	0.5598007	1	5126	"tags=44%, list=23%, signal=58%"
PEPTIDYL-THREONINE PHOSPHORYLATION	PEPTIDYL-THREONINE PHOSPHORYLATION	63	-0.4070597	-1.2629039	0	0.55899376	1	4332	"tags=49%, list=20%, signal=61%"
LONG-TERM MEMORY	LONG-TERM MEMORY	38	-0.48816967	-1.2623563	0	0.5584463	1	2049	"tags=39%, list=9%, signal=43%"
CHOLESTEROL BIOSYNTHETIC PROCESS	CHOLESTEROL BIOSYNTHETIC PROCESS	29	-0.50295115	-1.2621863	0.27865613	0.557281	1	1716	"tags=45%, list=8%, signal=49%"
ANTEROGRADE AXONAL TRANSPORT	ANTEROGRADE AXONAL TRANSPORT	30	-0.43942592	-1.2620732	0.21850394	0.5559901	1	4287	"tags=43%, list=20%, signal=54%"
POSITIVE REGULATION OF NEURON PROJECTION DEVELOPMENT	POSITIVE REGULATION OF NEURON PROJECTION DEVELOPMENT	162	-0.35061997	-1.2619299	0.09486166	0.5547348	1	3840	"tags=40%, list=18%, signal=48%"
MYOSIN BINDING	MYOSIN BINDING	27	-0.37911528	-1.2612982	0.19123507	0.5546642	1	2221	"tags=30%, list=10%, signal=33%"
CELL-CELL CONTACT ZONE	CELL-CELL CONTACT ZONE	25	-0.38412336	-1.2611866	0.19291338	0.5531301	1	4714	"tags=48%, list=22%, signal=61%"
A BAND	A BAND	21	-0.33247605	-1.261138	0.09795918	0.5514141	1	2444	"tags=24%, list=11%, signal=27%"
SODIUM ION TRANSPORT	SODIUM ION TRANSPORT	118	-0.31413987	-1.2607071	0	0.55038893	1	2596	"tags=29%, list=12%, signal=33%"
PROTEIN PHOSPHATASE REGULATOR ACTIVITY	PROTEIN PHOSPHATASE REGULATOR ACTIVITY	33	-0.36325505	-1.2604471	0	0.54975486	1	5405	"tags=48%, list=25%, signal=64%"
PHOSPHOLIPID BINDING	PHOSPHOLIPID BINDING	97	-0.3164802	-1.2597773	0	0.5501092	1	2489	"tags=30%, list=11%, signal=34%"
POSITIVE REGULATION OF SYNAPSE ASSEMBLY	POSITIVE REGULATION OF SYNAPSE ASSEMBLY	67	-0.687636	-1.2596605	0	0.5487736	1	3840	"tags=70%, list=18%, signal=85%"
