NAME	GS<br> follow link to MSigDB	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
POSITIVE REGULATION OF MAPK CASCADE	POSITIVE REGULATION OF MAPK CASCADE	118	0.3938697	1.5697987	0	0.13008238	1	3979	"tags=28%, list=18%, signal=34%"
G-PROTEIN BETA/GAMMA-SUBUNIT COMPLEX BINDING	G-PROTEIN BETA/GAMMA-SUBUNIT COMPLEX BINDING	23	0.43354154	1.5696803	0	0.12989098	1	2058	"tags=30%, list=9%, signal=34%"
HIGH-DENSITY LIPOPROTEIN PARTICLE	HIGH-DENSITY LIPOPROTEIN PARTICLE	20	0.61344475	1.5696757	0	0.1297006	1	5836	"tags=65%, list=27%, signal=89%"
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY	NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY	136	0.53077936	1.5696661	0	0.12951106	1	4518	"tags=39%, list=21%, signal=49%"
VERY-LOW-DENSITY LIPOPROTEIN PARTICLE	VERY-LOW-DENSITY LIPOPROTEIN PARTICLE	16	0.49832797	1.5692863	0	0.12944937	1	3033	"tags=44%, list=14%, signal=51%"
CCR4-NOT COMPLEX	CCR4-NOT COMPLEX	16	0.36965686	1.567512	0	0.12984984	1	391	"tags=6%, list=2%, signal=6%"
MAPK CASCADE	MAPK CASCADE	85	0.36276093	1.5667509	0	0.1296613	1	1452	"tags=15%, list=7%, signal=16%"
LEUKOCYTE TETHERING OR ROLLING	LEUKOCYTE TETHERING OR ROLLING	18	0.69215447	1.5661274	0	0.12977901	1	2911	"tags=56%, list=13%, signal=64%"
POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY	POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY	16	0.7555325	1.5655429	0	0.1300208	1	2522	"tags=63%, list=12%, signal=71%"
POSITIVE REGULATION OF VASCULAR PERMEABILITY	POSITIVE REGULATION OF VASCULAR PERMEABILITY	15	0.56562763	1.5649474	0	0.13002272	1	2318	"tags=33%, list=11%, signal=37%"
TRANSCRIPTION REGULATORY REGION DNA BINDING	TRANSCRIPTION REGULATORY REGION DNA BINDING	232	0.42774022	1.5641094	0	0.1302696	1	5115	"tags=36%, list=23%, signal=46%"
NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY	NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY	32	0.35677785	1.5639274	0	0.13017082	1	1428	"tags=16%, list=7%, signal=17%"
POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION	POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION	20	0.7902001	1.5638473	0	0.13010989	1	2232	"tags=60%, list=10%, signal=67%"
HETEROTYPIC CELL-CELL ADHESION	HETEROTYPIC CELL-CELL ADHESION	24	0.5771411	1.5634565	0	0.13004805	1	2707	"tags=38%, list=12%, signal=43%"
DOUBLE-STRAND BREAK REPAIR	DOUBLE-STRAND BREAK REPAIR	62	0.38199282	1.5614977	0	0.13092002	1	5859	"tags=32%, list=27%, signal=44%"
POSITIVE CHEMOTAXIS	POSITIVE CHEMOTAXIS	41	0.48088723	1.5612477	0	0.13093644	1	5269	"tags=46%, list=24%, signal=61%"
STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE	STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE	48	0.28703916	1.5606197	0	0.13119806	1	2441	"tags=15%, list=11%, signal=16%"
PROSTAGLANDIN BIOSYNTHETIC PROCESS	PROSTAGLANDIN BIOSYNTHETIC PROCESS	15	0.61231655	1.560141	0	0.13175282	1	4853	"tags=53%, list=22%, signal=69%"
NEGATIVE REGULATION OF BLOOD PRESSURE	NEGATIVE REGULATION OF BLOOD PRESSURE	35	0.46787256	1.5573962	0	0.13279477	1	2602	"tags=26%, list=12%, signal=29%"
BRUSH BORDER MEMBRANE	BRUSH BORDER MEMBRANE	70	0.5146346	1.5565153	0	0.13282353	1	4114	"tags=40%, list=19%, signal=49%"
CELL SURFACE RECEPTOR SIGNALING PATHWAY	CELL SURFACE RECEPTOR SIGNALING PATHWAY	143	0.46967024	1.5557479	0	0.13316444	1	3432	"tags=33%, list=16%, signal=39%"
LYSOPHOSPHOLIPASE ACTIVITY	LYSOPHOSPHOLIPASE ACTIVITY	15	0.45312768	1.5553174	0	0.13338356	1	2073	"tags=27%, list=9%, signal=29%"
RESPONSE TO ENDOPLASMIC RETICULUM STRESS	RESPONSE TO ENDOPLASMIC RETICULUM STRESS	77	0.44116405	1.5550779	0	0.13319384	1	2570	"tags=21%, list=12%, signal=23%"
ERYTHROCYTE DIFFERENTIATION	ERYTHROCYTE DIFFERENTIATION	46	0.3967476	1.5545882	0	0.13329132	1	2903	"tags=20%, list=13%, signal=23%"
PHOSPHOLIPASE C-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	PHOSPHOLIPASE C-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY	48	0.42951328	1.5542582	0	0.1331028	1	1873	"tags=25%, list=9%, signal=27%"
POSITIVE REGULATION OF INTERFERON-GAMMA PRODUCTION	POSITIVE REGULATION OF INTERFERON-GAMMA PRODUCTION	46	0.7179077	1.5532994	0	0.13408612	1	3443	"tags=63%, list=16%, signal=75%"
CENTRIOLAR SATELLITE	CENTRIOLAR SATELLITE	94	0.25122076	1.5522047	0	0.13423342	1	4339	"tags=21%, list=20%, signal=26%"
POSITIVE REGULATION OF INTERLEUKIN-12 PRODUCTION	POSITIVE REGULATION OF INTERLEUKIN-12 PRODUCTION	22	0.73238665	1.5512025	0	0.13424163	1	3522	"tags=68%, list=16%, signal=81%"
CHEMOATTRACTANT ACTIVITY	CHEMOATTRACTANT ACTIVITY	33	0.52523875	1.5505198	0	0.13434902	1	5269	"tags=48%, list=24%, signal=64%"
PROTEIN CATABOLIC PROCESS	PROTEIN CATABOLIC PROCESS	43	0.47188294	1.5499048	0	0.13482179	1	4328	"tags=30%, list=20%, signal=38%"
RECEPTOR TYROSINE KINASE BINDING	RECEPTOR TYROSINE KINASE BINDING	62	0.30374172	1.5484167	0	0.13587666	1	4289	"tags=27%, list=20%, signal=34%"
NEGATIVE REGULATION OF VIRAL GENOME REPLICATION	NEGATIVE REGULATION OF VIRAL GENOME REPLICATION	41	0.82901746	1.5471581	0	0.1366476	1	1917	"tags=68%, list=9%, signal=75%"
SPERM MIDPIECE	SPERM MIDPIECE	28	0.45653665	1.54671	0	0.13674155	1	5732	"tags=39%, list=26%, signal=53%"
DECIDUALIZATION	DECIDUALIZATION	29	0.59005684	1.5461811	0	0.13673533	1	3704	"tags=45%, list=17%, signal=54%"
LEUKOCYTE CELL-CELL ADHESION	LEUKOCYTE CELL-CELL ADHESION	24	0.7825831	1.5447768	0	0.13723147	1	2444	"tags=63%, list=11%, signal=70%"
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION	NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION	64	0.39244533	1.5443734	0	0.1372537	1	3352	"tags=27%, list=15%, signal=31%"
EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE	EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE	62	0.38833216	1.5437164	0	0.13745244	1	2649	"tags=24%, list=12%, signal=27%"
TELOMERE MAINTENANCE	TELOMERE MAINTENANCE	39	0.4312822	1.5429314	0	0.13768527	1	6559	"tags=36%, list=30%, signal=51%"
EXTRACELLULAR EXOSOME	EXTRACELLULAR EXOSOME	77	0.47791138	1.5426489	0	0.13749264	1	4229	"tags=35%, list=19%, signal=43%"
NEGATIVE REGULATION OF CELL DEATH	NEGATIVE REGULATION OF CELL DEATH	84	0.33978993	1.5418421	0	0.13774379	1	4308	"tags=24%, list=20%, signal=30%"
NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE	NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE	77	0.34140867	1.5418311	0	0.13755205	1	3777	"tags=21%, list=17%, signal=25%"
SIGNALING ADAPTOR ACTIVITY	SIGNALING ADAPTOR ACTIVITY	19	0.49119237	1.5396109	0	0.13809684	1	3483	"tags=32%, list=16%, signal=38%"
MICROGLIAL CELL ACTIVATION	MICROGLIAL CELL ACTIVATION	29	0.74971557	1.5392592	0	0.13844512	1	2503	"tags=69%, list=11%, signal=78%"
"PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR"	"PHOSPHOTRANSFERASE ACTIVITY, ALCOHOL GROUP AS ACCEPTOR"	21	0.49673802	1.5389484	0	0.13841689	1	1658	"tags=24%, list=8%, signal=26%"
NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION	NEGATIVE REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION	36	0.540795	1.5388277	0	0.13822527	1	3542	"tags=42%, list=16%, signal=50%"
DEFENSE RESPONSE TO BACTERIUM	DEFENSE RESPONSE TO BACTERIUM	126	0.6556288	1.5386096	0	0.1381498	1	3699	"tags=50%, list=17%, signal=60%"
REGULATION OF INNATE IMMUNE RESPONSE	REGULATION OF INNATE IMMUNE RESPONSE	20	0.7955518	1.5382206	0	0.13807477	1	2015	"tags=65%, list=9%, signal=72%"
TRANSCRIPTION ELONGATION FACTOR COMPLEX	TRANSCRIPTION ELONGATION FACTOR COMPLEX	22	0.457323	1.5380958	0	0.1378852	1	3968	"tags=36%, list=18%, signal=44%"
NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY	NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY	34	0.26789898	1.5360312	0	0.1386922	1	4876	"tags=29%, list=22%, signal=38%"
GLUTATHIONE TRANSFERASE ACTIVITY	GLUTATHIONE TRANSFERASE ACTIVITY	31	0.556319	1.5358663	0	0.1385021	1	2579	"tags=32%, list=12%, signal=37%"
APOPTOTIC SIGNALING PATHWAY	APOPTOTIC SIGNALING PATHWAY	50	0.6184158	1.5349222	0	0.13877167	1	3786	"tags=46%, list=17%, signal=56%"
POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY	POSITIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY	30	0.7099911	1.5347863	0	0.13873763	1	1267	"tags=33%, list=6%, signal=35%"
POSITIVE REGULATION OF CHEMOTAXIS	POSITIVE REGULATION OF CHEMOTAXIS	18	0.53211546	1.533729	0	0.13892503	1	4331	"tags=44%, list=20%, signal=55%"
NEGATIVE REGULATION OF INTERLEUKIN-2 PRODUCTION	NEGATIVE REGULATION OF INTERLEUKIN-2 PRODUCTION	16	0.5770705	1.5335014	0	0.13873604	1	2522	"tags=38%, list=12%, signal=42%"
CELLULAR PROCESS	CELLULAR PROCESS	24	0.39520806	1.5325513	0	0.13913758	1	3443	"tags=33%, list=16%, signal=40%"
SINGLE-STRANDED DNA BINDING	SINGLE-STRANDED DNA BINDING	95	0.23919709	1.5318421	0.18461539	0.1392578	1	6654	"tags=31%, list=30%, signal=44%"
REGULATION OF INSULIN SECRETION	REGULATION OF INSULIN SECRETION	34	0.5059733	1.5311638	0	0.13933656	1	3387	"tags=38%, list=16%, signal=45%"
ANIMAL ORGAN REGENERATION	ANIMAL ORGAN REGENERATION	50	0.4949598	1.5303831	0	0.13937841	1	5269	"tags=42%, list=24%, signal=55%"
POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION	POSITIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION	26	0.60618836	1.5303562	0	0.13936004	1	2130	"tags=35%, list=10%, signal=38%"
DETERMINATION OF ADULT LIFESPAN	DETERMINATION OF ADULT LIFESPAN	21	0.4995256	1.5298674	0	0.13929152	1	3542	"tags=33%, list=16%, signal=40%"
ONE-CARBON METABOLIC PROCESS	ONE-CARBON METABOLIC PROCESS	23	0.4716692	1.5289451	0.07171315	0.1395478	1	5713	"tags=48%, list=26%, signal=65%"
PROTEIN SELF-ASSOCIATION	PROTEIN SELF-ASSOCIATION	64	0.37550962	1.5282106	0	0.13981877	1	3900	"tags=30%, list=18%, signal=36%"
RAC GTPASE BINDING	RAC GTPASE BINDING	49	0.34981072	1.5280668	0	0.1398876	1	2130	"tags=18%, list=10%, signal=20%"
MACROPHAGE DIFFERENTIATION	MACROPHAGE DIFFERENTIATION	17	0.6313318	1.5276486	0	0.14012629	1	2972	"tags=47%, list=14%, signal=54%"
CELLULAR RESPONSE TO LOW-DENSITY LIPOPROTEIN PARTICLE STIMULUS	CELLULAR RESPONSE TO LOW-DENSITY LIPOPROTEIN PARTICLE STIMULUS	16	0.4898822	1.5263814	0	0.14123555	1	3468	"tags=44%, list=16%, signal=52%"
ACUTE-PHASE RESPONSE	ACUTE-PHASE RESPONSE	33	0.6449202	1.526159	0	0.14115776	1	4675	"tags=58%, list=21%, signal=73%"
POSITIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS	POSITIVE REGULATION OF CELLULAR PROTEIN METABOLIC PROCESS	17	0.499676	1.5259699	0	0.14129883	1	2343	"tags=41%, list=11%, signal=46%"
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR BIOSYNTHETIC PROCESS	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR BIOSYNTHETIC PROCESS	18	0.6425076	1.5248057	0	0.14188571	1	4426	"tags=67%, list=20%, signal=84%"
AUTOPHAGOSOME MEMBRANE	AUTOPHAGOSOME MEMBRANE	33	0.4017913	1.5229256	0	0.14309801	1	1429	"tags=12%, list=7%, signal=13%"
ANTIBACTERIAL HUMORAL RESPONSE	ANTIBACTERIAL HUMORAL RESPONSE	23	0.64594495	1.5229129	0	0.14290671	1	2679	"tags=39%, list=12%, signal=45%"
LAMININ BINDING	LAMININ BINDING	27	0.56221014	1.5206927	0	0.14500171	1	3795	"tags=33%, list=17%, signal=40%"
CELLULAR AMINO ACID METABOLIC PROCESS	CELLULAR AMINO ACID METABOLIC PROCESS	23	0.53523934	1.5196352	0	0.14560261	1	4172	"tags=43%, list=19%, signal=54%"
MITOCHONDRIAL OUTER MEMBRANE	MITOCHONDRIAL OUTER MEMBRANE	160	0.28693303	1.5194073	0	0.14560615	1	3499	"tags=15%, list=16%, signal=18%"
ESTROUS CYCLE	ESTROUS CYCLE	21	0.3743653	1.5183588	0	0.1460223	1	4070	"tags=33%, list=19%, signal=41%"
C-C CHEMOKINE BINDING	C-C CHEMOKINE BINDING	25	0.6862783	1.5181061	0	0.14597489	1	2282	"tags=40%, list=10%, signal=45%"
NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL	NEGATIVE REGULATION OF VIRAL ENTRY INTO HOST CELL	20	0.683223	1.5164046	0	0.14712165	1	3433	"tags=50%, list=16%, signal=59%"
DEFENSE RESPONSE TO PROTOZOAN	DEFENSE RESPONSE TO PROTOZOAN	31	0.804355	1.5157666	0	0.14741701	1	1335	"tags=68%, list=6%, signal=72%"
HELICASE ACTIVITY	HELICASE ACTIVITY	126	0.40042084	1.515548	0	0.1473231	1	6954	"tags=38%, list=32%, signal=56%"
CELL POPULATION PROLIFERATION	CELL POPULATION PROLIFERATION	181	0.3336926	1.5147982	0	0.14732277	1	3825	"tags=22%, list=18%, signal=26%"
B CELL PROLIFERATION	B CELL PROLIFERATION	32	0.584979	1.5120021	0	0.14889678	1	1739	"tags=28%, list=8%, signal=31%"
PODOSOME	PODOSOME	31	0.4846166	1.5116351	0	0.14899729	1	737	"tags=16%, list=3%, signal=17%"
PROTEIN HOMOTETRAMERIZATION	PROTEIN HOMOTETRAMERIZATION	76	0.35755584	1.5111809	0	0.14907691	1	4673	"tags=32%, list=21%, signal=40%"
CYTOKINE RECEPTOR BINDING	CYTOKINE RECEPTOR BINDING	27	0.71877396	1.5107081	0	0.14938937	1	3981	"tags=63%, list=18%, signal=77%"
PML BODY	PML BODY	95	0.3006854	1.5104625	0	0.1491906	1	1248	"tags=9%, list=6%, signal=10%"
PHOSPHATASE BINDING	PHOSPHATASE BINDING	51	0.2829624	1.5098193	0	0.14926147	1	3570	"tags=20%, list=16%, signal=23%"
NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	NEGATIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	16	0.4165805	1.5096804	0	0.14906372	1	3939	"tags=31%, list=18%, signal=38%"
LEUKOCYTE MIGRATION	LEUKOCYTE MIGRATION	24	0.648315	1.5096133	0	0.14906001	1	4331	"tags=63%, list=20%, signal=78%"
MESODERM DEVELOPMENT	MESODERM DEVELOPMENT	25	0.4467314	1.5090683	0.10953347	0.14918971	1	2370	"tags=20%, list=11%, signal=22%"
DEPHOSPHORYLATION	DEPHOSPHORYLATION	163	0.23749483	1.5089401	0	0.14899333	1	4547	"tags=20%, list=21%, signal=25%"
"OXIDOREDUCTASE ACTIVITY, ACTING ON SINGLE DONORS WITH INCORPORATION OF MOLECULAR OXYGEN, INCORPORATION OF TWO ATOMS OF OXYGEN"	"OXIDOREDUCTASE ACTIVITY, ACTING ON SINGLE DONORS WITH INCORPORATION OF MOLECULAR OXYGEN, INCORPORATION OF TWO ATOMS OF OXYGEN"	15	0.67905164	1.5087011	0	0.14879781	1	3609	"tags=53%, list=17%, signal=64%"
REGULATION OF ENDOCYTOSIS	REGULATION OF ENDOCYTOSIS	29	0.42128164	1.5086689	0	0.14860307	1	710	"tags=10%, list=3%, signal=11%"
PROTEIN DEUBIQUITINATION	PROTEIN DEUBIQUITINATION	76	0.2350728	1.5084777	0	0.14849542	1	4819	"tags=18%, list=22%, signal=24%"
REGULATION OF CELL DIFFERENTIATION	REGULATION OF CELL DIFFERENTIATION	31	0.4835957	1.5081329	0	0.14843325	1	3023	"tags=29%, list=14%, signal=34%"
ESTABLISHMENT OF EPITHELIAL CELL APICAL/BASAL POLARITY	ESTABLISHMENT OF EPITHELIAL CELL APICAL/BASAL POLARITY	17	0.5124079	1.5077381	0	0.14824037	1	1503	"tags=24%, list=7%, signal=25%"
RESPONSE TO NUTRIENT LEVELS	RESPONSE TO NUTRIENT LEVELS	75	0.39803913	1.5063211	0	0.14933562	1	4183	"tags=28%, list=19%, signal=35%"
POSITIVE REGULATION OF FAT CELL DIFFERENTIATION	POSITIVE REGULATION OF FAT CELL DIFFERENTIATION	46	0.41148916	1.5053188	0	0.1500455	1	2590	"tags=22%, list=12%, signal=25%"
THIOL-DEPENDENT UBIQUITINYL HYDROLASE ACTIVITY	THIOL-DEPENDENT UBIQUITINYL HYDROLASE ACTIVITY	88	0.21011972	1.5050477	0	0.15012373	1	4819	"tags=16%, list=22%, signal=20%"
SKELETAL MUSCLE CELL DIFFERENTIATION	SKELETAL MUSCLE CELL DIFFERENTIATION	53	0.4477769	1.5048953	0	0.15019518	1	3321	"tags=28%, list=15%, signal=33%"
KINASE BINDING	KINASE BINDING	108	0.311852	1.502459	0	0.15111136	1	2492	"tags=18%, list=11%, signal=20%"
EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND	EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND	37	0.54262245	1.502232	0	0.1515319	1	3001	"tags=32%, list=14%, signal=38%"
RNA PHOSPHODIESTER BOND HYDROLYSIS	RNA PHOSPHODIESTER BOND HYDROLYSIS	37	0.5086373	1.5014509	0	0.15154618	1	1982	"tags=22%, list=9%, signal=24%"
POSITIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY	POSITIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY	34	0.6123193	1.5008087	0	0.15175577	1	3957	"tags=44%, list=18%, signal=54%"
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY	POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY	43	0.33668435	1.499339	0	0.15347044	1	3184	"tags=23%, list=15%, signal=27%"
POSITIVE REGULATION OF SMOOTH MUSCLE CELL MIGRATION	POSITIVE REGULATION OF SMOOTH MUSCLE CELL MIGRATION	38	0.38083628	1.4992192	0	0.15327135	1	4613	"tags=26%, list=21%, signal=33%"
RESPONSE TO UV	RESPONSE TO UV	46	0.27677214	1.4992081	0	0.15307328	1	5553	"tags=26%, list=25%, signal=35%"
POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY	POSITIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY	18	0.49810097	1.4986222	0	0.15318581	1	3184	"tags=33%, list=15%, signal=39%"
GLUTATHIONE PEROXIDASE ACTIVITY	GLUTATHIONE PEROXIDASE ACTIVITY	19	0.53259647	1.4982951	0	0.15306062	1	4016	"tags=37%, list=18%, signal=45%"
POSITIVE REGULATION OF MACROPHAGE CHEMOTAXIS	POSITIVE REGULATION OF MACROPHAGE CHEMOTAXIS	20	0.7049228	1.4980778	0	0.15299122	1	3126	"tags=55%, list=14%, signal=64%"
PORE COMPLEX	PORE COMPLEX	20	0.42078158	1.4979722	0	0.15296179	1	4229	"tags=30%, list=19%, signal=37%"
CHEMOKINE ACTIVITY	CHEMOKINE ACTIVITY	40	0.58961594	1.4977531	0	0.15322547	1	3138	"tags=48%, list=14%, signal=55%"
NEGATIVE REGULATION OF INTERLEUKIN-6 PRODUCTION	NEGATIVE REGULATION OF INTERLEUKIN-6 PRODUCTION	32	0.64591473	1.4977092	0	0.15313168	1	2389	"tags=44%, list=11%, signal=49%"
ACYL-COA HYDROLASE ACTIVITY	ACYL-COA HYDROLASE ACTIVITY	19	0.54930496	1.497277	0.09881423	0.1531985	1	3741	"tags=37%, list=17%, signal=44%"
POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS	POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS	24	0.4159037	1.497182	0	0.15300351	1	2726	"tags=25%, list=12%, signal=29%"
NEGATIVE REGULATION OF NIK/NF-KAPPAB SIGNALING	NEGATIVE REGULATION OF NIK/NF-KAPPAB SIGNALING	20	0.47529608	1.4969695	0	0.15316427	1	1862	"tags=20%, list=9%, signal=22%"
ACTIVATING TRANSCRIPTION FACTOR BINDING	ACTIVATING TRANSCRIPTION FACTOR BINDING	37	0.39591512	1.4964052	0	0.15355052	1	4913	"tags=41%, list=23%, signal=52%"
AMINO ACID TRANSPORT	AMINO ACID TRANSPORT	54	0.33742464	1.4959191	0	0.15402535	1	2154	"tags=15%, list=10%, signal=16%"
RESPONSE TO PEPTIDE HORMONE	RESPONSE TO PEPTIDE HORMONE	74	0.4300141	1.495882	0	0.1538303	1	4908	"tags=35%, list=22%, signal=45%"
RESPONSE TO OSMOTIC STRESS	RESPONSE TO OSMOTIC STRESS	21	0.4177236	1.4957713	0	0.15373556	1	2372	"tags=24%, list=11%, signal=27%"
PROSTAGLANDIN METABOLIC PROCESS	PROSTAGLANDIN METABOLIC PROCESS	27	0.5736012	1.4956341	0	0.15354179	1	3493	"tags=37%, list=16%, signal=44%"
SH3 DOMAIN BINDING	SH3 DOMAIN BINDING	123	0.33801168	1.4953176	0	0.15334879	1	3184	"tags=23%, list=15%, signal=27%"
POSITIVE REGULATION OF LEUKOCYTE MIGRATION	POSITIVE REGULATION OF LEUKOCYTE MIGRATION	18	0.53715426	1.494887	0	0.15340732	1	4623	"tags=56%, list=21%, signal=70%"
POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA	POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA	29	0.49735346	1.4945918	0	0.15321529	1	4726	"tags=38%, list=22%, signal=48%"
POSITIVE REGULATION OF GENE EXPRESSION	POSITIVE REGULATION OF GENE EXPRESSION	455	0.38990068	1.4943675	0	0.15312254	1	4537	"tags=31%, list=21%, signal=38%"
SITE OF DOUBLE-STRAND BREAK	SITE OF DOUBLE-STRAND BREAK	55	0.38334522	1.4939471	0	0.15317014	1	6637	"tags=38%, list=30%, signal=55%"
UBIQUITIN CONJUGATING ENZYME BINDING	UBIQUITIN CONJUGATING ENZYME BINDING	32	0.2712404	1.4931245	0	0.15364105	1	3908	"tags=16%, list=18%, signal=19%"
RESPONSE TO TESTOSTERONE	RESPONSE TO TESTOSTERONE	40	0.40606025	1.4925792	0	0.15408653	1	3777	"tags=28%, list=17%, signal=33%"
POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	POSITIVE REGULATION OF PROTEIN SERINE/THREONINE KINASE ACTIVITY	49	0.32356298	1.4912732	0.100603625	0.15488179	1	3254	"tags=16%, list=15%, signal=19%"
PHOTOTRANSDUCTION	PHOTOTRANSDUCTION	21	0.5050345	1.4908599	0	0.15478793	1	4193	"tags=38%, list=19%, signal=47%"
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SECRETION	POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SECRETION	19	0.6173361	1.4907755	0	0.15459582	1	3483	"tags=53%, list=16%, signal=63%"
POSITIVE REGULATION OF DNA REPLICATION	POSITIVE REGULATION OF DNA REPLICATION	32	0.32743755	1.4907004	0	0.15459976	1	4204	"tags=28%, list=19%, signal=35%"
TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	86	0.408038	1.4906739	0	0.15440872	1	3326	"tags=28%, list=15%, signal=33%"
ERYTHROCYTE DEVELOPMENT	ERYTHROCYTE DEVELOPMENT	24	0.39744523	1.4896709	0	0.15485147	1	3297	"tags=21%, list=15%, signal=25%"
INNER EAR DEVELOPMENT	INNER EAR DEVELOPMENT	60	0.48006073	1.4880058	0.10735586	0.15593818	1	1927	"tags=18%, list=9%, signal=20%"
RESPONSE TO MECHANICAL STIMULUS	RESPONSE TO MECHANICAL STIMULUS	66	0.48380783	1.4880053	0	0.1557458	1	3339	"tags=30%, list=15%, signal=36%"
DNA-DEPENDENT DNA REPLICATION	DNA-DEPENDENT DNA REPLICATION	20	0.5914622	1.4872382	0	0.15612945	1	5702	"tags=45%, list=26%, signal=61%"
RAB GUANYL-NUCLEOTIDE EXCHANGE FACTOR ACTIVITY	RAB GUANYL-NUCLEOTIDE EXCHANGE FACTOR ACTIVITY	35	0.34643924	1.4862201	0	0.15664312	1	4589	"tags=29%, list=21%, signal=36%"
CELL AGING	CELL AGING	29	0.37910545	1.4861401	0	0.15645051	1	3948	"tags=24%, list=18%, signal=29%"
ACTIN FILAMENT POLYMERIZATION	ACTIN FILAMENT POLYMERIZATION	25	0.49707204	1.4849805	0	0.1568999	1	4671	"tags=36%, list=21%, signal=46%"
NEGATIVE REGULATION OF CARDIAC MUSCLE CELL APOPTOTIC PROCESS	NEGATIVE REGULATION OF CARDIAC MUSCLE CELL APOPTOTIC PROCESS	32	0.4698192	1.4847876	0.17751479	0.15678637	1	4851	"tags=44%, list=22%, signal=56%"
POSITIVE REGULATION OF MITOTIC NUCLEAR DIVISION	POSITIVE REGULATION OF MITOTIC NUCLEAR DIVISION	29	0.51929814	1.4830977	0.106090374	0.15774411	1	1654	"tags=21%, list=8%, signal=22%"
"HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS"	"HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS"	31	0.49020562	1.4820809	0	0.15798588	1	4372	"tags=32%, list=20%, signal=40%"
VACUOLAR PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX	VACUOLAR PROTON-TRANSPORTING V-TYPE ATPASE COMPLEX	16	0.48705268	1.481172	0.096969694	0.15825912	1	3493	"tags=25%, list=16%, signal=30%"
